part,cid,title,duration_seconds,actual_duration_seconds,state,file,bytes,sha256,independent_subtitles,url
1,39755975667,一个人在家做AI漫剧能赚钱吗？,2610,2609.022426,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/一个人在家做AI漫剧能赚钱吗？.mp4,90253039,40cc25dcc096d7e95a1442e7db4967985e05932690836615e075fab104c21c45,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=1
2,167845774,第一课-劝学1.1,1010,1009.85839,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.1.mp4,64379682,d26e7368006cf96f51858eb7cfb8bc013656be3f2f26539e2a6fb85b0f275252,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=2
3,167847370,第一课-劝学1.2,1343,1341.973401,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.2.mp4,87341921,88a6be72a8801e5fab993fc7f6f876e63e57e03463a88a45414fe6e598ba6b09,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=3
4,167849613,第一课-劝学1.3,726,725.948005,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.3.mp4,49515874,92f00104f44b306d101d3cb01f1cd9bc6afaf7eec46c2e0bc93e5e44385ca84f,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=4
5,167850841,第二课-故事的要素2.1,1277,1276.678889,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.1.mp4,80878517,ae7fc5cf55ac7a986105ab85f4376d418331fa2b852c41690d7a30398cbfd0bf,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=5
6,167853069,第二课-故事的要素2.2,1946,1945.622562,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.2.mp4,132008940,106f194736f875983bebd75396444a2c5dc8c0758dd5d591254e2a4db35dc2fc,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=6
7,167856598,第三课-八要素的实战应用3.1,1674,1673.298934,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.1.mp4,113379853,37811fe1f7c44abbca9c2ef0202e3aa74f94b3df1d8614fb735c054cec7925b0,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=7
8,167859809,第三课-八要素的实战应用3.2,2030,2029.423379,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.2.mp4,145416659,8f9258099f3c79e4d70bd1840dc61163bfdaa6c81b10e2a9d71ece8f11dde093,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=8
9,167864038,第四课-第一个故事4.1,1397,1396.656395,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.1.mp4,131377354,1db09122dd581f9000004a24fb0c1755e2bf74c30282b4a06020edd74abd5765,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=9
10,167867112,第四课-第一个故事4.2,1525,1524.551905,verified,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.2.mp4,146001004,af8a26f2ac5b58868a20c8fed3f1ba79c2d36892be52a12dda96ff0b96c8b0de,not_retrieved_in_anonymous_download,https://www.bilibili.com/video/BV1eE411F73t/?p=10
