part,lesson,section,title,cid,url,duration_seconds,file,sha256,transcript_status,review_status
1,,supplement,一个人在家做AI漫剧能赚钱吗？,39755975667,https://www.bilibili.com/video/BV1eE411F73t/?p=1,2609.022426,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/一个人在家做AI漫剧能赚钱吗？.mp4,40cc25dcc096d7e95a1442e7db4967985e05932690836615e075fab104c21c45,machine_transcribed,full_machine_transcript_read_not_full_listen
2,1,numbered_course,第一课-劝学1.1,167845774,https://www.bilibili.com/video/BV1eE411F73t/?p=2,1009.85839,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.1.mp4,d26e7368006cf96f51858eb7cfb8bc013656be3f2f26539e2a6fb85b0f275252,machine_transcribed,full_machine_transcript_read_not_full_listen
3,1,numbered_course,第一课-劝学1.2,167847370,https://www.bilibili.com/video/BV1eE411F73t/?p=3,1341.973401,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.2.mp4,88a6be72a8801e5fab993fc7f6f876e63e57e03463a88a45414fe6e598ba6b09,machine_transcribed,full_machine_transcript_read_not_full_listen
4,1,numbered_course,第一课-劝学1.3,167849613,https://www.bilibili.com/video/BV1eE411F73t/?p=4,725.948005,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.3.mp4,92f00104f44b306d101d3cb01f1cd9bc6afaf7eec46c2e0bc93e5e44385ca84f,machine_transcribed,full_machine_transcript_read_not_full_listen
5,2,numbered_course,第二课-故事的要素2.1,167850841,https://www.bilibili.com/video/BV1eE411F73t/?p=5,1276.678889,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.1.mp4,ae7fc5cf55ac7a986105ab85f4376d418331fa2b852c41690d7a30398cbfd0bf,machine_transcribed,full_machine_transcript_read_not_full_listen
6,2,numbered_course,第二课-故事的要素2.2,167853069,https://www.bilibili.com/video/BV1eE411F73t/?p=6,1945.622562,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.2.mp4,106f194736f875983bebd75396444a2c5dc8c0758dd5d591254e2a4db35dc2fc,machine_transcribed,full_machine_transcript_read_not_full_listen
7,3,numbered_course,第三课-八要素的实战应用3.1,167856598,https://www.bilibili.com/video/BV1eE411F73t/?p=7,1673.298934,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.1.mp4,37811fe1f7c44abbca9c2ef0202e3aa74f94b3df1d8614fb735c054cec7925b0,machine_transcribed,full_machine_transcript_read_not_full_listen
8,3,numbered_course,第三课-八要素的实战应用3.2,167859809,https://www.bilibili.com/video/BV1eE411F73t/?p=8,2029.423379,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.2.mp4,8f9258099f3c79e4d70bd1840dc61163bfdaa6c81b10e2a9d71ece8f11dde093,machine_transcribed,full_machine_transcript_read_not_full_listen
9,4,numbered_course,第四课-第一个故事4.1,167864038,https://www.bilibili.com/video/BV1eE411F73t/?p=9,1396.656395,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.1.mp4,1db09122dd581f9000004a24fb0c1755e2bf74c30282b4a06020edd74abd5765,machine_transcribed,full_machine_transcript_read_not_full_listen
10,4,numbered_course,第四课-第一个故事4.2,167867112,https://www.bilibili.com/video/BV1eE411F73t/?p=10,1524.551905,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.2.mp4,af8a26f2ac5b58868a20c8fed3f1ba79c2d36892be52a12dda96ff0b96c8b0de,machine_transcribed,full_machine_transcript_read_not_full_listen
11,5,numbered_course,第五课-剧本的正义5.1,167870818,https://www.bilibili.com/video/BV1eE411F73t/?p=11,1487.330317,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.1.mp4,856c51029752ff06089982e4a14aa9ec79ebcb7886cb30cdc6907ddec6d5d40f,machine_transcribed,full_machine_transcript_read_not_full_listen
12,5,numbered_course,第五课-剧本的正义5.2,167874116,https://www.bilibili.com/video/BV1eE411F73t/?p=12,1181.686054,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.2.mp4,967eaacb9181b7632b1d035fd179641ae582b15b91a3aff685316f279973449c,machine_transcribed,full_machine_transcript_read_not_full_listen
