P002 第一课-劝学1.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=2
CID：167845774
源文件 SHA256：d26e7368006cf96f51858eb7cfb8bc013656be3f2f26539e2a6fb85b0f275252

[00:00:03.622–00:00:05.612] 从今天开始录一组编剧课。
[00:00:14.438–00:00:19.756] 一说编剧啊，很多人觉得有点距离感的，甚至觉得这个职业挺神秘的。
[00:00:20.326–00:00:21.868] 其实完全没有必要啊。
[00:00:22.566–00:00:24.364] 编剧呢就是一门手艺。
[00:00:25.094–00:00:30.860] 也是通过学习和训练掌握的一门技能。编剧教学这一块啊分两个流派。
[00:00:33.798–00:00:34.956] 一种是学院派。
[00:00:36.518–00:00:39.660] 学派就影视学院他们教的那一套教程。
[00:00:40.358–00:00:49.356] 呃，偏重基本功，偏重理论。你去看他们的教材，里面全是些专业名词，比如说什么。
[00:00:49.894–00:00:50.924] 吉利事件呀。
[00:00:51.526–00:01:00.076] 三布式结构啊、沟壑呀、灵魂、黑夜呀，全是这种词儿，让你一下觉得高山仰尺啊不可接近。
[00:01:00.550–00:01:04.588] 比较高深。嗯，还有一种呢是速成派。
[00:01:06.310–00:01:08.268] 速成派呢就比较街头了。
[00:01:09.766–00:01:14.988] 你一看标题，你就明白什么叫速成派啊，什么20天搞定电影剧本。
[00:01:16.102–00:01:20.140] 好莱坞顶级编剧的10个小秘密全是这种。
[00:01:20.902–00:01:24.268] 他是怎么教呢？他就是把一些商业片。
[00:01:25.414–00:01:33.964] 归纳总结，找出一些简单粗暴的规律性的东西，然后告诉你，这是普世的真理，让你去背，让你去按照那个去做。
[00:01:34.886–00:01:36.332] 呃，举个例子吧。
[00:01:37.542–00:01:39.148] 比如说前几年的。
[00:01:39.878–00:01:44.364] 韩剧偶像剧这一块，他们有一个第6级接吻法则。
[00:01:45.030–00:01:48.588] 啥意思呢？就男女主角在第6集要亲嘴。
[00:01:49.574–00:01:59.276] 当然是概念化的亲嘴啊，因为不能真亲，第6集就搞出爱情来，有点早了。对于一个爱情片来说，他们一般是怎么呢？就比如说。
[00:02:00.582–00:02:09.388] 这个男女主角困在一个狭小的空间了，困住了，然后就蹭上了，或者是女的摔跤了，不小心摔到这个男的。
[00:02:09.862–00:02:27.052] 或者是俩人喝醉了，哎，怎么着了？还有这女的在洗澡，男的不小心不知道闯进去了，然后就搞这一套。但是这套一搞你就明白了，这这俩人肯定要在一块了，对吧？就规律性的东西。还有呢比如说呃电影里面。
[00:02:27.878–00:02:30.828] 男2号一般要在65分钟左右。
[00:02:31.590–00:02:32.012] 资料。
[00:02:32.646–00:02:35.180] 男2号一死，哪一号开始雄起。
[00:02:35.718–00:02:39.724] 为什么呢？因为一般呃双男主的这种电影啊。
[00:02:40.422–00:02:51.276] 男二号会一般是男一号的分身，是他性格上的一部分，等于是他的一部分死掉了，导致他蜕变升华，绝地反击。
[00:02:51.846–00:02:53.996] 所以说这这就是简单规律。
[00:02:55.014–00:02:59.692] 这种教学我就说它是呃这个编剧里面的成功学。
[00:03:00.198–00:03:12.364] 他有什么好处呢？他给你信心，他一下让人觉得啊编剧我可以很简单嘛，对吧？但是千篇一律也不好，没有灵魂呀，偶尔也能蒙对啊偶尔也能蒙对。
[00:03:12.870–00:03:15.564] 这两种方法咱们如果把它看成。
[00:03:16.198–00:03:16.972] 学功夫。
[00:03:17.574–00:03:29.164] 假设你想学功夫这两种方法有什么利弊啊？学功夫学院派，那就是少林少林正统呀，对吧？你想学功夫，我得去上少林。
[00:03:29.702–00:03:30.796] 然后就去拜师。
[00:03:31.686–00:03:36.908] 啊到山上说，师傅，我想学功夫啊，师傅说，莫慌莫慌，你先挑水。
[00:03:37.862–00:03:44.908] 你想师傅挑水师傅说挑水，那咱就挑吧啊，天天挑的水那个上在山上奔挑了3年。
[00:03:45.606–00:03:54.636] 又去找师傅说师傅师傅，我的功夫对吧？怎么着？师傅说你去劈柴啊，咣咣咣在那劈，又劈了3年。
[00:03:55.366–00:04:01.932] 然后又去找师傅，师傅，我这功夫，你瞧瞧师傅说你去蘸梅花庄，然后又去蘸梅花庄，又站了3年。
[00:04:02.406–00:04:18.444] 三年下来忍不住了，三年又三年三年又三年，什么时候是个头儿啊，对吧？就去找师傅理论，说师傅，我来学功夫的，你看你给我整师傅说孽土口出狂言，然后就跟你你就跟师傅比划起来了，一比划发现哎哎。
