P013 第六课-剧本的格式6
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=13
CID：167877064
源文件 SHA256：6c081651506265a9544cea6b2c2553118bbf5ce94b6a5b3f1022e8a5669b09d0

[00:00:03.110–00:00:04.844] 今天开始第二阶段的课程。
[00:00:05.798–00:00:13.484] 咱们第一阶段讲的是故事，就是教大家写故事，先写出一个故事。然后第二阶段教大家把故事变成剧本。
[00:00:14.374–00:00:16.044] 因为故事是剧本的原材料呀。
[00:00:17.606–00:00:18.956] 先有故事，再有剧本。
[00:00:19.558–00:00:23.596] 然后怎么把故事变成剧本呢？是有步骤，有方法的。
[00:00:24.838–00:00:28.876] 也是咱们第二阶段需要解决的问题。我有教学计划。
[00:00:30.406–00:00:33.100] 但是今天呢咱们要打破一下这个教学计划。
[00:00:34.534–00:00:35.564] 加一节课。
[00:00:36.198–00:00:38.284] 佳节啥课呢？硬。
[00:00:39.014–00:00:43.148] 好多的同学强烈要求，不停的发私信给我要求。
[00:00:43.750–00:00:46.124] 让我讲一讲剧本的格式。
[00:00:54.374–00:00:57.228] 你说剧本的格式值得一讲吗？
[00:00:58.758–00:01:00.684] 可以讲也值得讲。
[00:01:01.542–00:01:22.620] 我为什么同意了这部分同学这个无理的要求呢？因为我之前讲过，我说我年轻的时候想当编剧的第一件事儿，就是想知道剧本的格式。因为我觉得我已经了然于胸了，有的是故事，给我个格式，我就往上卡就可以了，我就直接你给我个模子，我就生产了呀。
[00:01:23.718–00:01:25.100] 我当时就是这么想的。
[00:01:25.606–00:01:29.836] 所以我理解这部分同学呃，自认为天赋异禀。
[00:01:30.406–00:01:36.172] 然后按捺不住这种心情，今天咱就给大家讲一讲，早晚得讲。
[00:01:36.902–00:01:46.444] 然后呢嗯我也可以分享一份剧本给大家。像我当年那样照着一份剧本去看一看研究研究。
[00:01:46.950–00:01:59.628] 这个看这个视频的可以加咱的公众号，我把公众号打在这儿，加咱的公众号，咱们有学习小组，我会在里面分享呃剧本格式，找个好莱坞的得国奖的给你们行不行？
[00:02:00.614–00:02:13.932] 然后光看剧本呢，有些地方可能有点费解。咱们今天这节课就讲一下剧本的格式，提前讲一下吧。好吧，反正早晚得讲剧本的格式，剧本格式这种课咋讲呢？
[00:02:14.662–00:02:17.708] 这种课就有点枯燥了啊，讲格式。
[00:02:18.246–00:02:19.692] 一个剧本来说啊。
[00:02:20.230–00:02:23.756] 我们先看一份剧本，基本单位是场。
[00:02:24.390–00:02:31.020] 就一场一场戏嘛，这么理解好理解吧。那你写这一场一场戏都写啥呢？
[00:02:32.198–00:02:35.148] 首先，一个厂的描述分四个部分。
[00:02:36.262–00:02:37.004] 四部分。
[00:02:39.942–00:02:41.548] 首先是一个厂号。
[00:02:44.358–00:02:46.124] 然后是唐景。
[00:02:49.606–00:02:51.788] 然后是这个时间。
[00:02:56.422–00:02:57.580] 然后是内外。
[00:02:59.878–00:03:05.804] 就说你这一场戏基本单位是场，你这一场戏的第一行是这四个玩意儿。
[00:03:06.694–00:03:16.588] 唐浩呢很容易理解，就是你这是第几场戏了。假设这是剧本里面的第第17场了吧，那可能就写个017。
[00:03:17.414–00:03:30.380] 对吧你得留个三位数，留个三位数。我们说一般我们以电影为例啊，一个电影那怎么也得有个七八十场戏嘛，对吧？所以你留个三位数妥一点，万一干到三位数了，017。
[00:03:31.014–00:03:34.156] 场景是啥意思呢？场景就是。
[00:03:34.854–00:03:37.644] 你这场戏摄像机所能覆盖的范围。
[00:03:39.334–00:03:40.204] 比如说。
[00:03:40.774–00:03:46.668] 呃，这场戏是一个办公室，对吧？那就办公室办公室。
[00:03:51.686–00:03:56.748] 办公室啊，实7场办公室里的席时间。
[00:03:57.382–00:04:00.844] 啊，写一写几点吗？不是时间就四个字儿。
[00:04:08.230–00:04:09.580] 日夜成昏。
[00:04:11.046–00:04:16.428] 选一个就行了，就是这这场日戏还是夜戏，早晨的戏还是傍晚的戏。
[00:04:17.414–00:04:19.692] 咱们不需要具体到几点。
[00:04:20.358–00:04:24.012] 除非什么呢？除非你这戏里面有个关键的时间点。
[00:04:26.438–00:04:35.436] 呃，那你这场戏是会有具体时间的，有个炸弹什么的对吧？那平常来说就这四个字，好吧，日夜成昏内外。
[00:04:35.942–00:04:46.892] 哎，这更简单了，就是内景还是外景，就这二两个字2选一，内还是外。假设咱这个办公室系是个内系，内景系，对吧？内景系，那就写个内。
[00:04:48.166–00:04:51.532] 很容易理解是吧？这这这么说当然容易理解。
[00:04:52.486–00:04:55.084] 我们来说一下呃，具体的规则。
[00:04:55.974–00:04:58.220] 首先这个场号就是一几场。
[00:04:59.462–00:05:09.644] 一般来说，那你说这这是第十七场，那第十六场和第十八场他们之间的关系是什么？一般来说，换场的规则就是场景转换。
[00:05:10.438–00:05:15.532] 一般来说啊，换场的规则就是场景转换。
[00:05:16.326–00:05:17.932] 就以场景转换。
[00:05:20.070–00:05:22.892] 你就给他换场就完事儿。
[00:05:23.782–00:05:24.524] 一般来说。
[00:05:25.798–00:05:27.212] 然后第二个场景。
[00:05:28.486–00:05:31.276] 我们说结合第这个场景转换这个话题来。
[00:05:32.390–00:05:33.292] 办公室。
[00:05:35.046–00:05:35.884] 办公室的戏。
[00:05:36.614–00:05:38.412] 然后呢，我在办公室办公了。
[00:05:40.294–00:05:41.260] 接了个电话。
[00:05:42.278–00:05:45.004] 打这个电话了，打着打着就哎呀呀呀。
[00:05:45.798–00:05:49.836] 说到不便之处，有些事儿不想让别人听着。
[00:05:50.662–00:05:51.980] 然后就流的出去了。
[00:05:52.710–00:05:59.532] 我打着溜达出去了，假设我还没溜得远，我就直接这办公室有阳台，我就溜达到阳台去了。
[00:06:00.070–00:06:00.876] 那你看看。
[00:06:03.238–00:06:08.556] 那我第117场戏就又从场景到阳台了，我要不要换场？
[00:06:09.382–00:06:10.124] 我要不要换场？。
[00:06:11.078–00:06:12.524] 要不要换成第十八场？
[00:06:13.318–00:06:13.964] 这个呢。
[00:06:16.454–00:06:17.068] 看你爱好。
[00:06:17.734–00:06:20.300] 你他们爱换不换，没有那么重要。
[00:06:20.774–00:06:26.540] 你可以在场景里面写上这场戏，既是办公室，又是阳台。
[00:06:27.302–00:06:31.628] 就办公室和加阳台或者办公室加走廊，他还到走廊溜了一圈。
[00:06:32.966–00:06:36.748] 然后呢，把它归在十7场里面，也可以他。
[00:06:38.214–00:06:41.644] 去阳台那一段，你给他直接换场换了18场。
[00:06:42.310–00:07:00.428] 但有时候我不建议你这么切的这么密，为啥呢？你他在阳台说几句，他又回来说咋整，是不是？所以就这里呢就不用非去说这个场景一换了，你就给人换场了，这个没有必要。而且我再给你举一个例子，还有几段情况来。
[00:07:02.182–00:07:05.836] 第十七场，我们假设他没去阳台，就到办公室老老实实打电话。
[00:07:06.342–00:07:10.828] 但是来你打电话的对方，比如说你媳妇儿。
[00:07:11.366–00:07:12.716] 你媳妇儿在家。
[00:07:13.190–00:07:17.708] 然后有几个镜头切到你媳妇儿在家里坐在沙发上哎哎。
[00:07:18.246–00:07:20.780] 这是不是又一个场景啊，那你怎么办？
[00:07:22.054–00:07:31.340] 那肯定不能换场呀。你媳妇说一句，换下一场回来又你也有这一场，那就没有必要换。在这里场景呢显上办公室和家里沙发。
[00:07:31.910–00:07:33.772] 同一场戏，同一通电话嘛。
[00:07:35.270–00:07:42.508] 然后时间这里没有什么意义，日夜乾坤四选一。但是这个内外你看就出问题了。
[00:07:43.686–00:07:44.812] 办公室是内呀。
[00:07:46.086–00:07:47.116] 阳台室外。
[00:07:48.198–00:07:48.620] 对吧。
[00:07:49.382–00:07:52.876] 除非你这个阳台是蓬中阳台，你可以把它贵在内景。
[00:07:53.382–00:07:59.660] 就你你的摄影棚里面有搭过这个阳台，你特定的这个阳台，你可以把它归在内景。
[00:08:00.518–00:08:01.484] 如果是。
[00:08:02.982–00:08:05.164] 你没有这个阳台，你要去外面拍一个。
[00:08:06.086–00:08:07.148] 裸露的阳台。
[00:08:07.782–00:08:09.964] 那这里就是要有外景的。
[00:08:10.982–00:08:12.012] 你要写明白。
[00:08:12.550–00:08:21.452] 为什么为什么要专门写内外啊？我们说你看啊前面我们都很容易理解这场是到第几场了。我作为编剧，我应该。
[00:08:21.958–00:08:33.420] 写一下到第几场来这这场戏发生在哪儿，那我也得写一写这场戏的时间，那我是得写一写。那早晨和傍晚那肯定是两两回事儿嘛。
[00:08:33.990–00:08:36.428] 这个内外我为什么要写一下？
[00:08:38.374–00:08:42.476] 这是很重要的，为啥呢？这是你给灯光组一个准备。
[00:08:43.078–00:08:44.492] 因为所有的内景。
[00:08:45.606–00:08:47.404] 他都是可以靠灯光解决的。
[00:08:49.766–00:08:51.084] 就说这个办公室里。
[00:08:52.166–00:08:53.804] 他什么光都能给打出来。
[00:08:55.878–00:09:02.764] 他可以模拟，现在是个白天，模拟现在是个晚上都很容易，对吧？他在外面打个小太阳，你这里面就是白天。
[00:09:03.302–00:09:05.804] 他可以把窗都糊上，那这里面就是晚上。
[00:09:06.374–00:09:14.636] 包括你是内景的阳台，他也可以给你做出白天、晚上、阴天、下雨天，他什么时候就给你弄出来？
[00:09:15.142–00:09:19.852] 这就是内景。但是外景呢，你这场戏如果是个外景，你写了外了。
[00:09:20.454–00:09:21.036] 那么。
[00:09:21.894–00:09:28.972] 呃，这时候灯光组可能操的心就少一些了，但是呢外联制片组就操的心就多一点了。
[00:09:29.862–00:09:39.532] 因为你出真正的外景的时候，你是要吃天光的，就是你要靠天吃饭的。你这场戏对吧？你写了一个外，然后雨天。
[00:09:40.006–00:09:44.044] 好家伙，那今天没有雨，那大家得去准备水车呀。
[00:09:44.614–00:09:53.580] 是这么个意思。所以说你这个内外你也是要写明白的对吧？所以说一场一场戏先描述四样东西。
[00:09:54.118–00:10:01.484] 场号场景、时间内外好吧，这是基本的一个套路，是为了大家方便工作。
[00:10:01.990–00:10:03.308] 那么这场戏。
[00:10:04.678–00:10:05.292] 来。
[00:10:07.494–00:10:17.324] 来这场戏描述这四样东西之后，这假设这是第一行，对吧？那你第二行写什么呢？第二行一般来说写描述。
[00:10:18.982–00:10:22.092] 也就说这场戏这场戏里面。
[00:10:22.566–00:10:25.100] 包含的东西有描述。
[00:10:26.502–00:10:27.468] 行动。
[00:10:30.246–00:10:31.116] 和台词。
[00:10:33.990–00:10:35.276] 或者叫对白吧。
[00:10:36.262–00:10:38.284] 咱们专业语叫对白。
[00:10:41.478–00:10:42.860] 一般有这几样东西。
[00:10:43.686–00:10:51.756] 描述来第17场戏办公室里的。然后呢，现在是一场呃早晨的戏。
[00:10:52.646–00:10:54.188] 对吧然后内景。
[00:10:56.006–00:10:56.684] 描述。
[00:10:57.990–00:11:01.004] 那首先得描述一下这个办公室的样子吧。
[00:11:01.638–00:11:22.108] 的场景吧，比如说是早上的是一个忙碌的状态，对吧？忙碌的一个状态，然后有五六个员工分别在搞什么事情，然后穿着的风格是什么样的对吧？呃，有其中有一个在正在接电话，然后呢大声的冲对方嚷嚷。
[00:11:22.758–00:11:26.124] 旁边的一个人呢嫌他吵，但又没有。
[00:11:27.302–00:11:31.916] 吱声只是白了他一眼，你看这全部属于描述。
[00:11:32.902–00:11:35.020] 你得描述一下这个环境。
[00:11:35.686–00:11:37.580] 然后行动呢，比如说我们的。
[00:11:38.342–00:11:42.412] 我们说这个这个这场戏这个角色这个A吧。
[00:11:44.902–00:11:49.612] A的电话响起A看了一眼来电。
[00:11:50.694–00:11:57.132] 号码呃，不想接放下，但是想了想，又拿了起来，看了看周围的人。
[00:11:58.374–00:12:00.396] 边接电话，边往阳台走。
[00:12:01.254–00:12:03.468] 就是A的动作，他的行动。
[00:12:04.326–00:12:05.868] 然后对白喂。
[00:12:06.342–00:12:08.268] 打电话给我干嘛？就是。
[00:12:09.702–00:12:11.980] 所以说一场戏眠包含。
[00:12:13.830–00:12:15.564] 这些内容描述。
[00:12:16.582–00:12:17.420] 行动。
[00:12:18.598–00:12:19.116] 对吧？
[00:12:20.678–00:12:26.892] 基本上是这么个规则。当然了啊，也有你看你说来咱们说比如说A。
[00:12:27.526–00:12:33.260] 他边往阳台走边接电话，这是他的行动。但是他在对白的时候，他有时候也会。
[00:12:34.310–00:12:43.500] 采取一些行动。这时候呢把一些简单的小行动，比如说点燃了一支烟什么呢，就在对白这里A，然后一般啊会。
[00:12:44.262–00:12:48.652] 打一个括号，比如说深吸了一口烟，然后又说了句什么。
[00:12:49.574–00:12:54.124] 就是说有一些简单行动也没必要说专门又分一行。
[00:12:54.630–00:13:08.812] 就打在括号里面也有这么写的，我到时候发格式给大家，大家自己去揣摩。其实啊这不是考试，没有人会盯着你必须怎么做，只是给演员，我跟你说剧本是什么玩意儿？
[00:13:09.414–00:13:25.292] 剧本是你给大家的一份工作参考，给各部门的一份工作参考。你要考虑到大家方便，你心里装置这件事情，你剧本就这个格式就会让所有人看得舒服，没有什么绝对的正确。当然了，还有啊比如说。
[00:13:25.830–00:13:30.572] ，行动这里一般人你看啊描述一行，行动一行，对白一行。
[00:13:32.102–00:13:34.284] 一般人会这个描述和行动。
[00:13:36.902–00:13:37.420] 符号。
[00:13:37.958–00:13:44.524] 对吧比如说描述这里他打个什么呃米字号，这个行动这里一般是打三角。
[00:13:45.062–00:13:54.604] 对吧当然有些人打实心，有些人打空心，有些人打正三角，有些人打倒三角。这根据每个学校不一样，每个老师不一样。
[00:13:55.814–00:14:06.732] 没有对错，因为你一打你就区分开了，别人就知道。还有一种啊还有一种剧本，就我给大家发好莱坞的剧本，你们能看到啊，他们喜欢把对白居中。
[00:14:08.646–00:14:09.996] 他们喜欢把对白居中。
[00:14:10.630–00:14:18.956] 呃，这些大家明白了吧？就是场景写四个东西，四要素，然后呢是描述行动对白。
[00:14:19.430–00:14:22.124] 大概是这么分的，当然还有对白完了又行动。
[00:14:22.598–00:14:25.324] 又对白啊，又描述呃，对吧。
[00:14:25.862–00:14:26.508] 都有。
[00:14:28.582–00:14:38.828] 然后我着重来说一下这个对白，好吧，我给大家讲一下这个对白对白呢，咱们咱们中国人的剧本里面，比如说这是一张A4纸。
[00:14:39.494–00:14:48.076] 来，我们假设这是一张A4纸啊呃假设这是你看顶头是017场戏呃，办公室。
[00:14:48.582–00:14:50.220] 然后早晨。
[00:14:51.174–00:14:52.332] 然后内景。
[00:14:52.870–00:15:01.580] 然后这是一行描述完了。然后第二行呃呃描述了一个米字号，描述了这个办公室的早上的忙碌。
[00:15:04.006–00:15:05.388] 哎呀，忙碌咋写来着？
[00:15:06.854–00:15:07.948] 刚才写过呢。
[00:15:08.614–00:15:09.644] 然后三角。
[00:15:10.566–00:15:13.388] 我们的角色A拿起电话。
[00:15:15.270–00:15:16.524] 走到阳台。
[00:15:18.022–00:15:21.484] 走出去对吧？然后呢，好莱坞剧本。
