P015 第八课-勾勒画面8.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=15
CID：167884665
源文件 SHA256：bd5aa89f3394a71240e23e971eabf08aef3485ba549e00ae14b246cd0a8caba3

[00:00:03.558–00:00:05.484] 好，咱开始今天的课程啊。
[00:00:06.278–00:00:08.108] 上节课说到哪儿了？
[00:00:08.806–00:00:09.836] 拿事儿说话。
[00:00:10.566–00:00:12.908] 就说咱之前学会了讲故事。
[00:00:13.702–00:00:18.572] 我也让大家写了个故事，以千来字包含八要素，记得吧？
[00:00:19.302–00:00:24.364] 那个玩意儿其实叫啥呢？在咱们剧本创作中啊，那个东西叫梗概。
[00:00:25.574–00:00:26.988] 然后我承诺大家。
[00:00:27.974–00:00:29.548] 有了梗概之后呢。
[00:00:30.278–00:00:32.140] 呃，教大家写剧本。
[00:00:32.966–00:00:37.964] 但其实在梗概跟剧本之间，还有一样东西叫大纲。
[00:00:38.758–00:00:39.340] 叫大纲。
[00:00:40.614–00:00:43.148] 上节课跟大家简单说了是吧？
[00:00:44.038–00:00:45.580] 就是这个梗盖。
[00:00:49.190–00:00:50.572] 到剧本之间。
[00:00:52.422–00:00:54.092] 还有一个东西叫大纲啊。
[00:00:56.294–00:01:02.188] 梗概呢我们说一一般是1000来字，1500字左右。剧本呢4万到6万不等。
[00:01:03.302–00:01:06.636] 大纲呢万把字儿一两万吧。
[00:01:07.398–00:01:22.668] 就这么个规模，有些同学说了，那非得写完梗概，非得再写一个大纲，大纲，你又不拿去卖去，大纲也卖不了钱，谁也不看，是你自己看，对吧？按理说梗概都不应该写，直接干剧本多好。
[00:01:23.206–00:01:26.828] 或者是说我们简单拉个梗盖直直接干剧本呗。
[00:01:27.334–00:01:29.036] 为啥会有个大纲这一步呢？
[00:01:30.310–00:01:36.108] 必须得有我上节课跟大家说了，梗盖的时候，其实你写的那个玩意儿啊。
[00:01:38.022–00:01:39.532] 还是有点像作文。
[00:01:40.230–00:01:41.612] 或者是一个小小说。
[00:01:42.982–00:01:46.732] 到大纲上节课叫啥来着？拿事儿说话。
[00:01:47.590–00:01:49.580] 到大纲，我只要事儿。
[00:01:50.854–00:01:51.564] 只要事儿。
[00:01:53.958–00:01:55.404] 上节课我给大家举个例子吧。
[00:01:55.878–00:01:57.612] 你写了，你说老。
[00:01:58.214–00:02:02.028] 老什么呢？老李啊老李这个人呢。
[00:02:03.014–00:02:05.644] 外表冷漠，内心狂热。
[00:02:06.470–00:02:07.180] 这个是。
[00:02:07.718–00:02:09.516] 你可以在梗概里面这么说。
[00:02:09.990–00:02:14.700] 到大纲，你给我打住，你给我打住，外表冷漠，内心狂热。
[00:02:15.654–00:02:19.820] 你让我咋拍？假设我现在是导演，我就问你，你让我咋拍？
[00:02:20.646–00:02:21.804] 事儿上见。
[00:02:22.374–00:02:26.092] 你要想说他外表冷漠，内心狂热，你拿一个事儿给我。
[00:02:27.014–00:02:27.596] 对不对？
[00:02:29.190–00:02:29.836] 事儿上去。
[00:02:30.438–00:02:41.164] 你说老李外表冷漠，内心狂热，是因为他年少的时候命运多舛，你再给我打住。他年少的时候命运多舛，你拍还是不拍？
[00:02:41.862–00:02:43.340] 你要拍给我写上。
[00:02:44.582–00:02:45.452] 他小时候。
[00:02:45.958–00:02:47.724] 从哪里切到他小时候。
[00:02:48.358–00:02:48.876] 对吧。
[00:02:49.542–00:03:04.172] 是他看着老照片开始回忆，还是通过他妈的嘴，他妈口述，对吧？老人口述说，哎，这孩子啊年轻的时候啊，命运多舛，这这也是个办法。但是你得给我事儿上见。
[00:03:04.870–00:03:07.340] 这就是我上节课跟大家说的这个大纲。
[00:03:07.910–00:03:09.548] 为什么必须有？
[00:03:11.462–00:03:13.772] 就是这个道理，他把你梗盖。
[00:03:14.406–00:03:15.372] 你当时。
[00:03:16.934–00:03:18.284] 信笔一挥。
[00:03:18.886–00:03:21.964] 写的那些玩意儿拿事儿给我实现。
[00:03:23.014–00:03:27.276] 不管是他外表冷漠，内心狂热，还是他年少时命运多舛。
[00:03:27.750–00:03:34.188] 这些话写小说都可以，小说里面经常有这种啊，你是个男主角，对吧？你随便写他什么。
[00:03:34.662–00:03:40.812] 呃这这些描述性的东西，大家只要能理解，大家就接受啊。当这个男主角是这样的人。
[00:03:41.286–00:03:45.996] 但是你作为一个剧本，你最终全部是用画面。
[00:03:48.678–00:03:51.820] 画面和声音呈现这个玩意儿。
[00:03:52.422–00:03:54.924] 你所有的故事，所以你这些。
[00:03:56.870–00:04:12.300] 梗概里面的这些这些词儿，这些这些你想要的元素，其实是你传想传达的信息，对吧？你必须在大纲里面全部给我变成事儿，就是上节课的意思就是拿事儿说话，或者说呢叫全部变成。
[00:04:13.670–00:04:14.604] 要么是。
[00:04:15.174–00:04:17.004] 这个环境的描述。
[00:04:21.318–00:04:21.804] 对吧。
[00:04:22.854–00:04:25.420] 要么是环境的描述，要么是动作。
[00:04:29.574–00:04:30.444] 要么是对白。
[00:04:31.974–00:04:38.284] 就基本上你得用这三样东西去给我表达你想要传达的那些信息。
[00:04:39.174–00:04:43.628] 环境假设你原本的梗概率员，你写这个男主角呢？
[00:04:44.230–00:04:45.548] 不修边幅。
[00:04:48.966–00:04:52.908] 生活上呢很随性，那你可能就通过他的。
[00:04:54.246–00:04:55.212] 居住环境。
[00:04:55.974–00:04:57.004] 他穿的衣服。
[00:04:57.990–00:04:59.916] 来把这个信息传达一下子。
[00:05:01.094–00:05:12.588] 那就是在大纲里面，你要你要知道你你有这个信息是要完成的。然后他的动作他做的事情对吧？然后他跟别人发生的对白，就这三样武器。
[00:05:13.254–00:05:23.340] 去表达你梗概里面想要表达的那些信息。我为什么让大家先写梗概，先写八要素，就是你想把你传达的东西，你先都写下来。
[00:05:24.198–00:05:30.956] 按照逻辑写下来，到了大纲这里，实际上大纲我上节课说了，其实是接近于剧本的。
[00:05:33.478–00:05:35.148] 大纲已经很接近于剧本了。
[00:05:35.974–00:05:44.236] 我们先写大纲，就是把你梗概里面承诺想要表达的那些信息，用这三种方法。
[00:05:44.870–00:05:45.516] 全过表达。
[00:05:46.150–00:05:51.436] 也就是说事儿上见这三种方法为什么只有这三种方法？因为这三种方法。
[00:05:52.230–00:05:53.836] 都是可以用画面表达的。
[00:05:56.614–00:06:04.716] 那是拍影视剧呀，毕竟不是写小说，这其实就是小说家和编剧最大区别就在这儿，咱们能用的武器少。
[00:06:05.414–00:06:06.636] 他们可以描写。
