P021 第十课-复杂叙事10.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=21
CID：171668148
源文件 SHA256：bc09ce03da5493738b3d07a2e9e8d336cb80cafccccd07caaabe05d35cd9a1ad

[00:00:03.302–00:00:04.076] 接下来讲。
[00:00:05.286–00:00:07.052] 所有人都一直盯着这里啊。
[00:00:07.622–00:00:15.884] 就觉一个视角呃人物啊、视角啊事情。其实心里我这么一说啊，你们心里都有数了，都不是难处理。
[00:00:16.454–00:00:18.444] 但是这个线性叙事啊。
[00:00:20.390–00:00:21.612] 有些人是在琢磨的。
[00:00:24.806–00:00:27.820] 说有些片子可不是现行虚事。
[00:00:29.574–00:00:31.468] 有没有非线性叙事的片子？
[00:00:38.054–00:00:39.148] 你们能想到的。
[00:00:41.126–00:00:41.580] 那个。
[00:00:42.726–00:00:45.420] 就算它是算它是非线性趋势。
[00:00:46.310–00:00:47.148] 疯狂的石头。
[00:00:48.166–00:00:49.292] 花里胡哨的吧。
[00:00:49.894–00:00:54.764] 叮咣叮咣这一下那一下非线性吧，挺隧道的，反正是。
[00:00:55.334–00:00:55.852] 对吧。
[00:00:57.894–00:01:01.548] 类似于疯狂的石头的这种叙事方式的。
[00:01:02.406–00:01:04.716] 还有一个电影叫情侣门。
[00:01:05.990–00:01:06.924] 韩国的一个电影。
[00:01:07.494–00:01:12.428] 挺好看的，你们可以去下载看一下韩国电影叫情侣门。
[00:01:14.182–00:01:19.820] 这疯狂的石头疯狂石头大家比较熟悉，我们就来讲一讲疯狂的石头。
[00:01:20.678–00:01:22.348] 讲一讲所谓的这个。
[00:01:24.326–00:01:25.452] 非线性虚食。
[00:01:27.110–00:01:29.516] 他是不是复杂趋势？我先。
[00:01:30.022–00:01:33.132] 再次声明我这节课我的立场啊。
[00:01:34.534–00:01:35.756] 有没有复杂叙事？
[00:01:43.302–00:01:45.420] 空啊很空。
[00:01:45.990–00:01:46.892] 我跟你说，你们。
[00:01:47.590–00:01:50.860] 我先讲吧，我给你们讲完嘿嘿。
[00:01:52.454–00:01:53.644] 你们在排聊。
[00:01:55.654–00:01:56.748] 擦出一块地儿。
[00:01:58.470–00:02:00.172] 我们来讲讲所谓的。
[00:02:04.710–00:02:06.412] 所谓的非线性叙事啊。
[00:02:08.166–00:02:09.324] 所谓的非。
[00:02:16.262–00:02:17.228] 所谓的非线性。
[00:02:19.078–00:02:36.140] 有些同学还会说啊，那倒叙算不算非线性？倒叙是算线性，倒叙，我们把它归在线性里。我不管你看到哪本书里，它怎么归，你听我的课，我就告诉你把它归在线性里面，你把它们中间一段拿到最前面说一下，或者你把结尾拿到最前面说一下。
[00:02:38.150–00:02:58.940] 不叫什么非线性，那还是你是按照线性写的。我跟你讲，最后你看到那样片子呈现出来呃，把结尾拿出来，在前面比划了一下，增强一下悬念，或者是增强一下观众期待，那都不一定是编剧干的，你懂我意思吧？那有可能是导演的主意或者是剪辑师干的，因为有可能是制制片人干涉。
[00:02:59.014–00:03:07.116] 说哎呀往前提一段吧，这个开头太散太惨了，对吧？太差了，那就是线性叙事，你就按照线性叙事写。
[00:03:07.686–00:03:11.596] 那么把后面一场戏提到前面啊，你就不是线性了啊。
[00:03:12.102–00:03:13.644] 别吹这种牛逼啊。
[00:03:14.214–00:03:16.300] 倒叙那些这的咱就不讨论。
[00:03:17.222–00:03:24.428] 我就说这个我们就说这个石头好吧，疯狂石头宁浩导演的。
[00:03:24.934–00:03:30.636] 这个这个成名制作，开山之作非常好非常好，从观赏的角度非常好。
[00:03:31.302–00:03:33.004] 大家不要去跟我说别的。
[00:03:34.886–00:03:40.748] 你爱不爱看好不好看，好看，那就是好，这电影就是好，你说他。
[00:03:41.414–00:03:47.948] 是怎么个叙事？我们还从我们的那个分法啊，简单叙事。我们说人物。
[00:03:48.550–00:03:49.388] 视角吗？
[00:03:50.374–00:03:51.436] 事情。
[00:03:52.550–00:03:53.100] 对吧。
[00:03:55.142–00:03:56.428] 非线性我们给他了。
[00:03:57.030–00:04:04.524] 我们说简单故事里面是一个人物，一个视角，一个事情嘛，我们还是从这三个角度来来理解这个事儿啊，疯狂的十道件。
[00:04:05.126–00:04:06.220] 我们说人物有多少？
[00:04:09.446–00:04:10.508] 人物多不多？
[00:04:11.430–00:04:14.156] 郭涛他们的是一伙，这个毫无疑问。
[00:04:14.630–00:04:15.180] 对吧。
[00:04:17.702–00:04:21.068] 我们就不不说他叫什么了啊，因为记不清楚了。
[00:04:21.926–00:04:28.684] 我没有提前备课，没有提前看片子，我就凭记忆跟大家说，不会说错的，大家放心，我不会草率的。
[00:04:29.766–00:04:31.500] 郭涛他们一伙，这毫无疑问。
[00:04:32.390–00:04:41.772] 黄渤那也算一会儿吧，那这吧就有一伙儿很主要的角色。在但是大哥是道哥，咱就说道哥吧，好吧。
[00:04:42.438–00:04:43.244] 哥那一伙。
[00:04:44.198–00:04:57.228] 咱还是得尊这个这个尊重大道哥是大哥呀，你在写黄渤那会，你你让道哥颜面河寸，是不是？咱这出来混的这大哥，就是大哥来道哥这一伙是吧？
[00:04:58.758–00:05:02.796] 我顶了肥也算一会吧，我顶了一个肥呀。
[00:05:03.590–00:05:06.540] 港那个香港香香港那个港位。
[00:05:08.166–00:05:08.684] 是吧。
[00:05:11.814–00:05:12.876] 稿费算一会吧。
[00:05:13.958–00:05:20.076] 然后徐峥跟那个四川那个娃子张迅徐峥张迅算一伙儿吧。
[00:05:20.902–00:05:24.716] 徐峥派迅读而来也是极度捣乱嘛。
[00:05:25.414–00:05:31.148] 对吧无人驾驶，高考技啊，对吧？那个那个那个迅哥。
[00:05:32.518–00:05:34.828] 我们就叫他迅哥吧，迅哥算一伙吧。
[00:05:35.494–00:05:35.948] 对吧。
[00:05:36.454–00:05:39.084] 然后还有一个一个那个重要力量。
[00:05:40.294–00:05:40.972] 那个。
[00:05:41.702–00:05:43.116] 搞摄影的那个。
[00:05:43.782–00:05:44.332] 富二代。
[00:05:45.542–00:05:54.860] 这个层死的母体，那个那个家伙琉璃厂那个那个厂厂长儿子那个二代，对吧？我们叫他二代。
[00:05:56.582–00:05:57.388] 我们说来。
[00:05:58.630–00:05:59.788] 这五谷势力。
[00:06:02.182–00:06:04.588] 我们为什么说这个二代明显不是主角？
[00:06:05.958–00:06:09.932] 但我们为什么使他无股实力？因为他从这5个角度都。
[00:06:10.758–00:06:11.948] 都曾经叙事。
[00:06:12.582–00:06:13.676] 都曾经蓄世了。
[00:06:14.950–00:06:17.932] 我们说这是他的5个虚实角度，我们这么去理解。
[00:06:19.462–00:06:20.332] 确实挺乱的。
[00:06:21.510–00:06:22.476] 但我告诉你啊。
[00:06:23.430–00:06:24.460] 他怎么写的？
[00:06:25.510–00:06:26.156] 还怎么写？
[00:06:28.326–00:06:29.100] 说人物啊。
[00:06:30.694–00:06:31.500] 视角人物。
[00:06:32.198–00:06:32.972] 主角人物。
[00:06:36.902–00:06:38.700] 郭涛才是贯穿始终的。
[00:06:39.526–00:06:42.764] 郭涛的目标保护那个石头。
[00:06:43.526–00:06:45.228] 换回自己的工资。
[00:06:46.118–00:06:52.652] 我们来看啊，我们不去看这些花里胡哨的玩意儿，我们不去看这些花里胡哨的。
[00:06:53.414–00:06:58.252] 的其他角色我们就来理郭涛的线，我给你从头到尾捋一遍。
[00:07:00.230–00:07:01.260] 郭涛开场。
[00:07:03.302–00:07:07.596] 对不对？开场就是郭涛，开场画面就是人家，他在干嘛？
[00:07:10.150–00:07:10.892] 他的尿尿。
[00:07:11.622–00:07:12.652] 他尿不出尿。
[00:07:19.814–00:07:20.652] 这是什么？
[00:07:21.926–00:07:22.828] 你告诉我这是什么？
[00:07:25.030–00:07:25.996] 这是个缺陷。
[00:07:26.662–00:07:27.884] 而且很可怜。
[00:07:28.614–00:07:30.092] 作为三十来岁的年纪。
[00:07:30.918–00:07:36.652] 首先开场做的他可怜，我告来回忆一下上节课这里为什么要做可怜？
[00:07:38.118–00:07:39.532] 增强共情。
[00:07:41.222–00:07:42.572] 增强共情。
[00:07:44.262–00:07:45.996] 想让观众站在他的角度。
[00:07:46.854–00:07:48.364] 然后第二场戏就是。
[00:07:49.670–00:07:50.252] 缺钱。
[00:07:51.078–00:07:52.204] 没有工资。
[00:07:52.710–00:07:54.348] 工资老板欠他工资。
[00:07:55.462–00:07:56.076] 缺钱。
[00:08:02.534–00:08:05.676] 对吧，然后后来接下来发生了什么事儿？
[00:08:06.374–00:08:07.660] 厂里出现了一块。
[00:08:08.198–00:08:13.292] 老坑翡翠呀，找到一块老坑翡翠，然后他他得到一个什么任务啊？
[00:08:14.598–00:08:16.908] 保护这个老坑翡翠。
[00:08:17.926–00:08:20.620] 对不对？而且保护这个老坑翡翠。
[00:08:21.350–00:08:25.292] 的条件是什么？只要保护这个老头翡碎，工资发给他。
[00:08:25.894–00:08:35.660] 解决他要钱的问题，他的欲望是要钱钱很要钱很原始，没问题。他的欲望是要钱，他的动作呢？
[00:08:36.390–00:08:37.612] 保护石头。
[00:08:38.246–00:08:43.116] 保护石头，保护好了就可以给我钱，他动作是保护石头。
[00:08:44.390–00:08:45.676] 然后他的结局是什么？
[00:08:47.526–00:08:53.100] 石头没保护好，但是得到钱了。石头最后他手里那个其实是真的石头。
[00:08:54.726–00:08:55.276] 记得吗？
[00:08:56.710–00:08:59.180] 最后石头落在他手里了，当然他不知道。
[00:08:59.942–00:09:02.732] 误打误撞。但是我们说。
[00:09:03.302–00:09:04.812] 主角的结果是什么来着？
[00:09:05.542–00:09:06.700] 绕过动作。
[00:09:07.974–00:09:12.588] 直现于我，他的动作是保护石头，他最后没有保护好石头。
[00:09:13.062–00:09:15.308] 但是实现了欲望，他不缺钱了。
[00:09:15.782–00:09:17.932] 你告诉我，郭涛不是主角，是什么？
[00:09:19.942–00:09:23.468] 它是100%的正儿八经的。
[00:09:24.838–00:09:25.356] 主角。
[00:09:26.630–00:09:32.908] 他是正儿八经的主角，你从这个角度理解，他其实是一个单一人物的。
[00:09:33.382–00:09:33.868] 对。
[00:09:34.854–00:09:39.916] 你不要被黄渤精湛的演技给迷惑了，就认为。
[00:09:40.550–00:09:42.316] 这个片子是有多么花哨。
[00:09:43.206–00:09:45.004] 首先从人物这个角度啊。
[00:09:48.550–00:09:49.132] 我们。
[00:09:50.566–00:09:54.124] 我们说主角毋庸置疑是郭逃。
[00:09:54.598–00:09:57.036] 从头到尾是他没有改变过。
[00:09:58.438–00:09:59.500] 做的一切。
[00:10:01.030–00:10:03.404] 就创作者做的一切。
[00:10:04.134–00:10:10.732] 出店一切这个这个这个安排都明确的告诉你，郭涛是这个戏的主角。
[00:10:13.414–00:10:14.188] 这四个人呢？
[00:10:15.238–00:10:16.012] 分别是干嘛的？
[00:10:16.710–00:10:18.156] 我讲这四个人是同样的。
[00:10:19.014–00:10:21.324] 全都是他保护石头的阻力。
[00:10:22.950–00:10:24.428] 全都是反派。
[00:10:25.094–00:10:26.508] 其实全都是反派。
[00:10:27.622–00:10:32.748] 但是这个戏做了一件什么事儿啊，你记得他叙事非常花哨。
[00:10:33.446–00:10:33.996] 对不对？
[00:10:34.470–00:10:36.812] 我们光记得他叙事非常花哨了。
[00:10:37.638–00:10:43.884] 丁光这一下那一下，他是怎么做到的？我现在告诉你，这些人明明是反派。
[00:10:45.414–00:10:47.148] 他们其实不应该出场那么早的。
[00:10:48.134–00:10:54.188] 比如说道哥他们这一伙，他带着黄渤，还有另外一个小弟，他们要偷这个石头，对吧？
[00:10:56.358–00:11:01.996] 他们不应该出场那么早的，以郭涛为视角，郭涛是主角的话，那么就等到。
[00:11:02.790–00:11:03.916] 比如说他们是。
[00:11:04.486–00:11:08.044] 假设这你看这四个都是来偷石头的。
[00:11:09.478–00:11:10.764] 来偷或者来抢的。
[00:11:12.614–00:11:15.244] 假设道哥和黄渤他们是第三波。
[00:11:16.550–00:11:19.244] 下手的那就到第三波的时候讲他们呀。
[00:11:20.070–00:11:27.724] 他们只不过是涛哥前进路上四朵波澜，其中的一朵而已都不一定是最大的那一朵。
[00:11:28.198–00:11:28.716] 对吧。
[00:11:31.878–00:11:33.196] 那他是怎么叙事的？
[00:11:33.830–00:11:34.444] 回忆一下。
[00:11:34.982–00:11:35.660] 我告诉你。
[00:11:37.254–00:11:38.956] 我们就先说道哥他们这一伙儿。
[00:11:40.198–00:11:41.804] 道哥在他们这会是怎么出场？
[00:11:43.366–00:11:44.460] 他们为什么会出场？
[00:11:46.918–00:11:47.820] 因为。
[00:11:48.454–00:11:50.956] 他们偷了港哥的设备。
[00:11:51.750–00:11:53.004] 发现这个港哥。
[00:11:54.214–00:11:55.916] 的目标是翡翠。
