P022 十一课-类型片11.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=22
CID：173862838
源文件 SHA256：af64702ef007143c1b946c5531ec334bdd3be1badba6a8613b545534f90cfeb8

[00:00:03.878–00:00:05.964] 咱这节课讲类型片儿。
[00:00:11.686–00:00:12.908] 你说啥叫类型件？
[00:00:13.510–00:00:18.380] 为什么要什么类型？这几年咱经常听说啊说这是一部类型片儿。
[00:00:18.918–00:00:23.564] 或者还有人说这是一部反类型片啊吧？让他们说的云里雾里的。
[00:00:24.614–00:00:26.092] 呃，弄得很高大上一样。
[00:00:26.598–00:00:28.684] 其实类型片就是给电影分类嘛。
[00:00:29.670–00:00:30.764] 就是给电影分类。
[00:00:31.526–00:00:38.732] 分类一下，便于研究，便于寻找规律和方法。其实就这么一个简单的一个思路。
[00:00:39.654–00:00:44.748] 咱们这节课就来说一下。首先说一下啊这个类型片啊，它的分类方式。
[00:00:45.606–00:00:51.564] 没有明确的规定，说法也不太统一，怎么说的都有每本教材说的也不太一样。
[00:00:54.150–00:01:01.292] 先说一种大的笼统的分法啊，有些人说把电影可以分为商业片。
[00:01:03.846–00:01:04.620] 和文艺片。
[00:01:05.318–00:01:06.316] 有没有这种分法？
[00:01:07.590–00:01:08.492] 经常听到是吧？
[00:01:09.638–00:01:11.436] 那你说啥叫三片，啥叫文艺片？
[00:01:12.966–00:01:16.396] 你去问10个人，有9个半人说不明白这个事儿。
[00:01:17.382–00:01:19.148] 你即便是去问影视圈的人。
[00:01:19.814–00:01:21.740] 你问10个人，也有9个人。
[00:01:22.566–00:01:25.132] 说不明白啥叫上一篇，啥叫文一片。
[00:01:27.174–00:01:36.716] 大家直观上的感觉啊，就心里面的感觉就是那种好看的叫商业片，精彩的叫商业片，那种比较沉闷的，比较无趣的。
[00:01:37.254–00:01:38.060] 呃教我一片。
[00:01:40.102–00:01:44.364] 就说好看的叫商业片，不好看，那叫文艺片吧，烂片叫文艺片啊。
[00:01:44.998–00:01:46.348] 那肯定不是这么分的呀。
[00:01:47.942–00:01:48.940] 肯定不是这么分的。
[00:01:50.694–00:01:53.324] 还有一些人说啊，这个导演是拍文艺片的。
[00:01:53.958–00:01:55.500] 那就是他专门拍烂片呗。
[00:01:56.902–00:01:58.124] 专拍不好看的片子。
[00:01:59.366–00:02:00.524] 其实不是这么分的啊。
[00:02:01.350–00:02:02.284] 商业篇。
[00:02:03.366–00:02:06.060] 这么说吧，商业片是以观众为。
[00:02:07.270–00:02:08.012] 服务观众。
[00:02:08.806–00:02:09.612] 他比较功利。
[00:02:10.470–00:02:16.588] 他是为了让故事最精彩，让观众最最过瘾，是他这种片子的这个。
[00:02:17.446–00:02:18.220] 生产目的。
[00:02:19.814–00:02:22.316] 所以他奔得好看去的这个确实是。
[00:02:23.014–00:02:25.900] 然后文艺片呢那不是奔着不好看去的。
[00:02:26.694–00:02:27.756] 是奔着。
[00:02:28.486–00:02:31.532] 创作者的想法。创作者的。
[00:02:32.774–00:02:35.468] 这个这个这个构思是实现创作者。
[00:02:36.134–00:02:37.644] 呃，欲望的骗子。
[00:02:39.142–00:02:43.948] 呃，好不好看，那就随缘了，对吧？因为不是呃服务你观众去的。
[00:02:46.534–00:02:48.044] 那你说为什么要拍这种片子呢？
[00:02:49.958–00:02:54.188] 为什么要这个创作者要拍个片子自嗨呢？不服务观众的话。
[00:02:56.646–00:02:57.612] 他也是有目的的。
[00:02:59.238–00:03:00.524] 他往往是为了。
[00:03:02.310–00:03:05.324] 实验实践或者拓展。
[00:03:05.926–00:03:07.148] 一些技术领域。
[00:03:07.686–00:03:08.684] 技术手法。
[00:03:10.118–00:03:11.020] 表达方式。
[00:03:11.622–00:03:12.588] 叙事方式。
[00:03:13.382–00:03:14.220] 是为了这个目的。
[00:03:14.918–00:03:16.588] 我给你打个比方吧啊。
