P028 十三课-电视剧13.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=28
CID：177384361
源文件 SHA256：0e8f0e3f7b8bdd76c4e2fec2fb16e999e3d1414fe6c7e329d7ef5ea83320cbe4

[00:00:03.142–00:00:05.804] 咱这节课讲电视剧啊。
[00:00:06.342–00:00:11.340] 电视剧呢好多同学问过我说啥时候讲讲呀，该讲电视剧了吧。
[00:00:12.806–00:00:14.700] 这个为啥这么着急呢？
[00:00:15.366–00:00:18.476] 是因为很多同学在外面找不到电视剧的教材。
[00:00:19.206–00:00:19.948] 确实没有。
[00:00:20.518–00:00:21.836] 确实没有像样的没有。
[00:00:22.886–00:00:27.532] 为啥这个电视剧的教材那么少呢？没有没有人教呢？
[00:00:28.518–00:00:29.708] 是因为电视剧。
[00:00:30.758–00:00:32.236] 总共就出来这么几十年。
[00:00:32.710–00:00:33.708] 他的历史很短。
[00:00:34.598–00:00:35.532] 然后形态。
[00:00:36.294–00:00:39.180] 一直不太稳定，它一直在发展变化。
[00:00:39.942–00:00:42.476] 所以你让那些老师怎么去。
[00:00:43.238–00:00:46.476] 这个出一套教材，怎么给你总结出一套方法呢？
[00:00:47.142–00:00:48.140] 所以确实不好弄。
[00:00:48.838–00:00:54.988] 但是听咱这个课的同学，你们有福了，我会讲。今天我给大家讲一讲啊。
[00:00:55.654–00:01:02.060] 今天天气很冷，所以又戴了个帽子啊。本来在室内啊其实是不应该戴帽子的，现在不太礼貌。
[00:01:02.534–00:01:11.628] 但是听过我课的同学都知道我光头这个温度低的时候，这个确实脑袋发凉，今天戴个帽子讲啊。
[00:01:12.838–00:01:15.628] 好，今天说电视剧。
[00:01:20.102–00:01:21.228] 这个电视剧啊。
[00:01:21.734–00:01:25.900] 你说他没有教材，那那市面上这些电视剧他们都咋写的？
[00:01:28.070–00:01:33.740] 就这个电影学院那些毕业的那些学生，他们怎么去从事电视剧这个行业呢？
[00:01:35.494–00:01:43.276] 其实电视剧的写法啊，现在大家一般都是从就是大家先去学电影，学戏剧那套东西学会了以后。
[00:01:43.878–00:01:45.740] 从那演变出。
[00:01:46.662–00:01:47.852] 电视剧的写法。
