P033 十四课-场景与对白14.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=33
CID：181763918
源文件 SHA256：800ec7bda7b267df2fe58fab6bffbedfb02cc0095e8dd2a88d56fd052256146e

[00:00:03.174–00:00:06.764] 好，咱们接着说对白啊，说对白这个部分。
[00:00:07.974–00:00:12.588] 我们说这个场景对白对白其实没有，不应该也是场景并列啊。
[00:00:13.062–00:00:14.764] 行景里面包括环境。
[00:00:15.366–00:00:16.524] 动作和对白。
[00:00:17.286–00:00:20.684] 那对白为什么单拿出来呢？因为对白啊是大家。
[00:00:21.158–00:00:25.772] 也是很关心很很经常问的一个一个部分。
[00:00:26.822–00:00:28.268] 特别是还很多。
[00:00:29.158–00:00:30.604] 很多同学有担心啊。
[00:00:31.142–00:00:44.908] 就说老师我其实故事写的挺好的，我就是对白写不好。我因为嗯那个可能文那个文学啊文学功底差点意思。我跟你们说过，没有这回事情没有这回事情。
[00:00:46.246–00:00:47.340] 没有人许。
[00:00:48.582–00:00:50.924] 因为文学功力差而写不好对白。
[00:00:51.782–00:00:54.476] 对白跟文学功理没有关系。
[00:00:55.078–00:00:57.068] 你除非你写琼瑶句。
[00:00:57.830–00:01:00.396] 否则的话，跟你的文学功底没有关系。
[00:01:01.382–00:01:03.340] 我们这节课就来研究一下对白啊。
[00:01:05.670–00:01:09.484] 很多同学说，哎呀，我一定要写出好的对白，经典对白。
[00:01:10.758–00:01:14.316] 你说啥叫经典对白？我们先来聊聊这个问题啊，经年对白。
[00:01:17.030–00:01:18.572] 我是。
[00:01:20.870–00:01:25.260] 我是80年代初出生的，然后我是18岁到了上海。
[00:01:26.022–00:01:28.236] 我差不多是在那个年纪啊。
[00:01:28.742–00:01:30.476] 开始大面积的接触电影。
[00:01:31.878–00:01:33.260] 也就是那个。
[00:01:34.086–00:01:36.172] 2021世纪初啊。
[00:01:36.678–00:01:38.060] 开始大面积的看电影。
[00:01:40.230–00:01:46.732] 所以我跟那个年代的年轻人一样，我们对经典台词的认知是从周星驰启蒙的。
[00:01:48.390–00:01:52.172] 导致所有的年轻人都在模仿周星驰说话的方式，你知道吗？
[00:01:52.774–00:02:01.516] 曾经有一份真挚的爱情放在我面前，你知道每一次呃这个这个文艺表演或者小品表演都有人要把这个。
[00:02:02.566–00:02:04.588] 这这段台词再说一遍，你知道吗？
[00:02:05.126–00:02:06.444] 就是当时的网红。
[00:02:07.110–00:02:13.260] 相当于现在的就是这种网这这叫什么网络网络。
[00:02:13.990–00:02:17.164] 这叫什么我，反正就是很红的这种画吧。
[00:02:19.878–00:02:22.348] 就是都是从周星驰启蒙的。
[00:02:23.526–00:02:27.276] 多了周星驰的对吧？那个呃。
[00:02:27.942–00:02:40.588] 小人本住在苏州的城边，家中有屋又有田，对吧？还有那种谁敢逼我惨那个是吧？这种哎，那个那个周星驰各种。
[00:02:42.502–00:02:43.436] 各种金句。
[00:02:43.910–00:02:46.284] 啊，那就是从周星驰开门的对吧？
[00:02:47.942–00:02:49.100] 周星驰的好多台词。
[00:02:51.494–00:02:56.492] 还有那个当时那把刀离我有多少多少0.01公分之类的。
[00:02:57.926–00:02:59.276] 你说这是经典台词吗？
[00:03:00.550–00:03:04.972] 是，当然是经典台词，你记得这么深，他当然是经典台词。
[00:03:07.206–00:03:12.236] 还有一类经典台词，那就是琼瑶那一挂的那也真是当时也真是经典台词呀。
[00:03:14.374–00:03:17.516] 山无棱天地合，才敢与君绝。
[00:03:19.174–00:03:22.636] 诶，当时很很屌啊，很厉害啊。
[00:03:23.238–00:03:23.660] 是吧。
[00:03:24.198–00:03:25.484] 这种都属于经典台词。
[00:03:26.054–00:03:27.596] 但不是我们课上去。
[00:03:28.390–00:03:30.796] 不是我们这节课我想给你们讲的。
[00:03:31.366–00:03:33.772] 台词因为这种台词啊。
[00:03:34.854–00:03:36.268] 他不是你可以模仿的。
[00:03:37.158–00:03:58.492] 你当时有很多人开始模仿这种写法，你知道吗？就周星驰以后就在自己的片子里面故意写上呃这个那个那个呃当时谁他离我只有多少多少公分，对吧？我这一拳呃这个重达34.957000克，就故意写这种很长很啰嗦的台词，以为。
[00:03:58.630–00:04:04.940] 在模自己在模仿周星驰，以为这是好台词的写法，其实是错误的，这个思维是错的。
[00:04:06.118–00:04:08.492] 它的原理是什么呢？是人家火了。
[00:04:10.470–00:04:13.068] 是是人家那个戏火了，人火了。
[00:04:13.638–00:04:14.412] 然后他的。
[00:04:15.238–00:04:18.028] 大家才去追捧他说过的话。
[00:04:19.526–00:04:24.492] 所以他是这个这个逻辑反了，而不是说他这个台词写的漂亮，让他火了。
[00:04:25.350–00:04:26.572] 相当于大师。
[00:04:27.782–00:04:36.300] 在闹笑，你光看到闹笑的那那一块的，对吧？你看到了一个经典作品这这然后你就觉得哪哪都是对的。
[00:04:36.966–00:04:42.892] 这个这个这个思路不对啊，因为那那个相当于他就是故意不好好说话，然后你可学去了。
[00:04:43.814–00:04:50.828] 这个思路我给大家举个更典型的例子吧啊，什么叫这个片子火？但是这个台词其实并不好。
[00:04:52.710–00:04:56.588] 我这个之前课里面，我曾经在别的课上跟同学们说过这个事儿，我说。
[00:04:58.822–00:04:59.724] 夏洛特烦恼。
[00:05:00.422–00:05:04.236] 好看吧，下洛的防盗很很好看，也很火。
[00:05:05.062–00:05:07.884] 毋庸置疑很火呀，沈腾玛丽就是这部戏。
[00:05:09.030–00:05:09.996] 开始火起来的呀。
[00:05:11.846–00:05:16.204] 我说这个夏洛特烦恼里面你能记得住的台词，一定有那句。
[00:05:16.806–00:05:20.780] 呃，大爷呃，马冬梅住这吧？马什梅。
[00:05:21.414–00:05:23.468] 马冬梅马冬什吗？
[00:05:24.006–00:05:28.172] 马冬梅什么冬梅马东，哎，算了吧，大爷。
[00:05:28.838–00:05:30.476] 对吧一定有这场戏吧。
[00:05:31.302–00:05:33.676] 一定有这场戏吧，这几句台词。
[00:05:34.438–00:05:37.612] 也被也也被普遍认为是经典台词吧。
[00:05:39.878–00:05:43.820] 经常被拿出来再再再剪一下，或者是再。
[00:05:44.294–00:05:45.324] 看一下什么的。
[00:05:46.150–00:05:47.692] 小视频里面经常会看到这个。
[00:05:50.630–00:05:51.628] 恕我直言啊。
[00:05:53.222–00:05:54.508] 这场戏是废戏。
[00:05:56.966–00:05:58.092] 这场戏是废戏。
[00:05:59.654–00:06:00.524] 真的是费析。
[00:06:02.246–00:06:03.596] 因为这场戏没有作用。
[00:06:05.062–00:06:06.156] 这场戏情想表达什么？
[00:06:07.046–00:06:09.452] 你想表达马冬梅住的环境很险恶。
[00:06:10.086–00:06:10.860] 邻居。
[00:06:11.334–00:06:12.428] 都都不是好人。
[00:06:13.766–00:06:20.844] 跟主线没有关系，这场戏是沈腾去找他。沈腾呃，这个这个功成名就之后。
[00:06:21.734–00:06:22.636] 心里。
[00:06:23.174–00:06:27.692] 遭遇挫折，心里难受的时候，想去找找冬梅，想去找找他的。
[00:06:29.478–00:06:34.540] 原配吧对吧？因为他是个穿越系嘛，原配夫人找一找马冬梅。
[00:06:35.462–00:06:42.348] 马冬梅住的那个环境，邻居很坏，跟这个信息无效，没有用，不需要表达。
[00:06:44.134–00:06:49.516] 你想表达还有什么信息？呃，沈腾找玛丽千辛万国，沈腾找马冬梅千辛万国。
[00:06:50.470–00:06:51.340] 没有用。
[00:06:52.294–00:06:55.660] 也没有表达这个信息。所以说这场戏其实是场废弃。
[00:06:57.766–00:07:03.596] 从剧本的角度啊，咱不能说人家啊人家红了就所有地方都是对的。
[00:07:04.262–00:07:17.260] 他红，他当然这个戏好，但是这场戏是场废戏。我为什么拿这场戏举例子呢？我们单位的我不怕得罪他们，好吧，这场戏真的是场废戏，他就是为了搞笑。
[00:07:17.766–00:07:19.788] 就是为了搞笑，博大家一笑。
[00:07:20.806–00:07:22.028] 对于故事来说。
[00:07:22.630–00:07:23.340] 是没有用的。
[00:07:25.510–00:07:25.996] 是废了。
[00:07:26.822–00:07:30.572] 但是在一场废戏中，你认为那个台词都很棒。
[00:07:31.750–00:07:33.484] 为啥就是因为熄火的。
[00:07:34.086–00:07:38.764] 熄火了，你反过来觉得哪哪都可爱，都挺好的，明白吗？
[00:07:39.750–00:07:41.100] 这就是我说的这个这个。
[00:07:41.574–00:07:43.596] 我们对经典台词的理解啊。
[00:07:44.326–00:07:44.876] 不能。
[00:07:46.150–00:07:52.236] 说啊那那些台词火遍大家南北的那些台词就是我们学习的对象，你反了。
[00:07:52.966–00:07:53.676] 反了。
[00:07:54.662–00:07:55.148] 对吧。
[00:07:56.038–00:08:03.116] 这这这就有点像什么呢？就你你你觉得啊马云是中国首富，然后你就照着马云的头型理了个发。
[00:08:05.990–00:08:24.460] 反了，他不是因为有那个发型，他才发了财，他是发了财之后，你觉得他那个发型真可爱呀，所以反了，你知道吗？所以你不能学学那些呃大师呃什么都学优秀作品里面就是觉得全是经典，全是对的。
[00:08:25.030–00:08:41.644] 首先这个这个这个这个思维先要改变一下，我跟大家说的是这个意思，好吧，还有就琼瑶的那些琼瑶也有自己的特色，而且误误误让让观众误以为呃，大家应该那么写。因为我经常看到有一些年轻人在写写剧的时候，还在走那个风格。
[00:08:44.198–00:08:45.004] 就比如说。
[00:08:46.054–00:08:51.148] 我其实也写过啊，就早期写偶像剧的时候，也会觉得你写的越越文艺。
[00:08:52.294–00:08:53.836] 就乐队对吧？
[00:08:55.110–00:08:55.884] 遇见你。
[00:08:56.614–00:08:58.444] 呃，用尽了我。
[00:08:58.918–00:09:03.468] 前半生的运气离开你，耗尽了我后半生的眼泪。
[00:09:04.006–00:09:07.500] 是吧就就然会整出这种句式。
[00:09:08.198–00:09:08.748] 这种。
[00:09:09.318–00:09:13.356] 嗯，也也也不可取也不可取，很幼稚。
[00:09:13.830–00:09:14.796] 也是搞反了。
[00:09:15.718–00:09:21.004] 对吧言情剧不要去去去模仿，就你现在如果在写偶像剧，就不要写这种。
[00:09:23.462–00:09:24.972] 不要写这种这种话。
[00:09:29.222–00:09:30.284] 还有装逼的词儿。
[00:09:30.758–00:09:35.084] 我当时也以我年轻的时候，我现在给你举的都是我年轻的时候走过弯路啊。
[00:09:36.006–00:09:38.508] 我年轻的时候，我还觉得装逼的词儿也是一种。
[00:09:39.558–00:09:43.692] 文艺也是一种牛逼，也是呢会成为经典台词。
[00:09:45.254–00:09:47.852] 啥叫装逼的台词？我当时都总结出方法了。
[00:09:48.902–00:09:57.612] 我当时写装逼台词，我都总结出自己的小方法了，啥方法呢？就是我想写装逼台词的时候，我就让我的角色答非所问。
[00:09:59.238–00:10:06.092] 啥叫大非所问啊？比如说我写过，哎，就哎咱就说上一上上一场戏，咱举过那个例子那个那个。
[00:10:06.630–00:10:14.572] 小弟跑进来跟黑老大汇报一件事情，对吧？汇报说，哎，老大，你那个拜把兄弟，咱二当家真的背叛你了。
[00:10:15.046–00:10:18.540] 是吧他干了什么坏事儿，什么坏事，什么坏事儿，您看。
[00:10:19.174–00:10:19.916] 要不要？
[00:10:20.518–00:10:21.324] 宰了他。
[00:10:22.630–00:10:25.068] 你黑老大在吃炸酱面吗？
[00:10:25.990–00:10:26.988] 装逼开始。
[00:10:27.782–00:10:28.748] 从我们一开始。
[00:10:30.214–00:10:38.892] 我说了吗？答非所问即可呀。老大要不要宰了他很明确的一个问句，要不要宰了他啊，老大吃面。
[00:10:42.950–00:10:44.460] 我小时候在农村长大。
[00:10:46.534–00:10:47.340] 家里特别穷。
[00:10:49.062–00:10:52.140] 我们家住的在村最里边那一户。
