P037 十五课-节拍器15.4
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=37
CID：190331356
源文件 SHA256：5993c16f3eec2afdf25ecafef65aae2c7fd176910841918808ea61c1547e2c84

[00:00:01.990–00:00:04.556] 天天收钱，假装别人的。
[00:00:05.702–00:00:09.164] 最好的朋友大郎一般都是最好的朋友嘛，best friend嘛。
[00:00:09.702–00:00:12.396] 他他每天假装自己最好的朋友。
[00:00:13.894–00:00:14.764] 然后收钱。
[00:00:15.302–00:00:22.636] 看起来很潇洒，但其实他每天花钱呃收钱做别人的朋友，他实际上。
[00:00:24.198–00:00:28.972] 他是一个收钱出卖友情的人，他实际也没有友情，明白这个意思吗？
[00:00:30.598–00:00:32.876] 他的你的也是友情。
[00:00:34.982–00:00:40.140] 等于我所以我说这是为什么这个这个戏是一个友情戏爱情戏，对吧？
[00:00:41.382–00:00:43.180] 就他的腻的也是朋友。
[00:00:44.326–00:00:44.812] 所以。
[00:00:45.350–00:00:50.636] 你去看打点，你仔细再把顶制伴郎看一遍，只看比故事。两个人第一次。
[00:00:52.678–00:01:01.964] 开始有点恍惚了，觉得真的像好朋友一样了。然后开始提醒说，我们可不是朋友，我们是雇佣关系。过了婚礼之后，我们。
[00:01:02.982–00:01:08.012] 老死不相往来，对吧？然后第一次灵魂拷问，对吧？这个这个。
[00:01:09.606–00:01:21.196] 你你你这个你不是收钱当他的伴郎吗？你感觉就是这个黑人不是感觉自己很潇洒吗？但是被人反问了一句，说你如果结婚，你的伴郎是谁？
[00:01:23.174–00:01:27.276] 对吧你他妈也没朋友呀，你以为你比。
[00:01:27.942–00:01:34.860] 那些可怜虫厉害吗？你收他们的钱，你也没有朋友，你要结婚的时候，谁给你当伴郎啊？
[00:01:35.814–00:01:49.676] 对吧就他的B故事也是点的相当完整，相当有层次。一步一步两个男人的感情升温。哎，这就是所所说的这就是我们所说的，有时候B故事是感情线。
[00:01:50.630–00:01:51.244] 对不对？
[00:01:51.814–00:01:54.220] 你看这个庇股史不就是感情线吗？
[00:01:55.046–00:02:15.132] 就这两个男人实际上是需要对方的，需要友情的，需要交个朋友的。所以A故事虽然是雇佣关系。AA故事是这个小胖子雇佣那个黑人来假装我的好朋友是这个雇佣关系，但是B故事是感情线，是这两个人友情的。
[00:02:15.206–00:02:15.660] 不断。
[00:02:17.542–00:02:18.700] 发生发展。
[00:02:20.134–00:02:20.652] 结果。
[00:02:21.990–00:02:25.324] 所以这就是AB故事，明白啊？从定制八郎的角度。
[00:02:29.126–00:02:32.908] 我们还看了一个前天看的那个摇滚校园。
[00:02:33.734–00:02:34.508] 摇滚校园。
[00:02:35.814–00:02:48.588] 摇滚校园是一个落魄的摇滚歌手，开场就证明就说他那个那个被自己的乐队给踢出来了，对吧？因为也不咋地，然后表演也不成功，然后落非常落魄的摇滚歌手。
[00:02:50.310–00:02:50.988] 嗯。
[00:02:51.494–00:03:10.508] 寄宿在朋友家里，意外得到一个，其实是那个电话是找他朋友去那个学校去去当临时老师代课老师。但是他因为特别缺钱，他就把这个事儿给截胡了。截胡了之后，他就去一个学校当老师。他本来想在那瞎混嗯。
[00:03:11.110–00:03:31.036] 这个这个这个把这个钱挣了就行了。然后后来他就发现咦这些学校里面的小孩这是个贵族学校啊，贵族学校的小孩那都是你知道课余活动，那都是搞点大提琴啊、钢琴啊什么的，对吧？跟咱们跟咱们这一样啊，就有钱人家的孩子都学乐器嘛。然后他看这小孩都回乐器。
[00:03:31.334–00:03:51.868] 然后他就萌发了一个想法，我把这些小孩组织起来，教他们摇滚的那套东西，他们反正有音乐的底子，然后呢带着他们去参加。他本来是想去参加一个比赛的，有2万美金的奖金，他带着这帮小孩去参加比赛，等于又把这个代课的钱挣了，然后呢又能在说不定在那把那2万美金坑到手里。
[00:03:53.158–00:03:54.124] 这就是A故事。
[00:03:55.142–00:03:57.452] 对吧我们能讲出来的就是A故事。
[00:03:58.854–00:03:59.724] 闭护式是啥？
[00:04:04.998–00:04:05.868] 庇护室。
[00:04:06.790–00:04:08.108] 是这个男人。
[00:04:08.774–00:04:09.868] 一步一步。
[00:04:10.406–00:04:12.172] 成为了一个更好的。
[00:04:12.678–00:04:19.148] 摇滚歌手更精准更正确的理解并传达了摇滚精神。
[00:04:21.350–00:04:29.036] 我们从忘的逆，哎，这个稍微有点难理解了，对吧？我们从忘的逆的角度，我给你剖析下，你就不觉得难了。
[00:04:29.798–00:04:33.068] 我们说他本来是的望，他他的原始欲望是什么？
[00:04:34.310–00:04:35.084] 他的大愿望。
[00:04:35.558–00:04:36.748] 我们说他有个大欲网。
[00:04:37.510–00:04:38.604] 大渔网是。
[00:04:41.062–00:04:50.028] 我们说在want need之上啊，它要有个大欲望啊，每个都是这样啊，每个故事都这样，它有个大欲望，大欲网就是成名。
[00:04:51.078–00:04:52.396] 成名头二啊。
[00:04:53.030–00:05:03.052] 他大愿望是不是成名成二，天天吹牛逼，说我要在多少人面前演出，我要怎么着怎么着摇滚啊，这个他的大欲望是成名成万。
[00:05:04.646–00:05:06.156] 大药很原始啊。
[00:05:06.630–00:05:09.708] 猴子也能理解呀，出人头地猴子能理解。
[00:05:11.334–00:05:12.780] 他的大鱼王是成名虫外。
[00:05:13.318–00:05:17.036] 然后那他在A故事里面的w针对这个欲望的w是什么？
[00:05:18.214–00:05:19.468] 在A故事里面的w。
[00:05:20.070–00:05:36.748] 就是就是呃参加比赛呃，忽悠这帮小孩跟我参加比赛，把那个钱挣了，然后能出名，还能签签公司，对吧？那那比赛都是一个套路，说你得了第名，能签公司嘛，跟咱们中国的选校一样。
[00:05:37.254–00:05:41.420] 就是他就拿这个忽悠你，然后他就支持他的外在望他。
[00:05:42.758–00:05:44.076] 它内在逆的是什麼？
[00:05:46.822–00:05:49.612] 他的欲望是成名成万，那他的逆的是什么？
[00:05:51.974–00:05:53.484] 他实际的内在需求是什么？
[00:05:56.294–00:05:58.092] 呀，白天慢呀。
[00:05:59.302–00:06:02.444] 在这里就是be a better rock singer。
[00:06:02.950–00:06:04.908] 你成为更好的一个摇滚。
[00:06:05.862–00:06:06.604] 越手牙。
[00:06:08.422–00:06:12.748] 你想要成名成万，你要成为一个更好的摇滚人。
[00:06:13.254–00:06:14.380] 更好的摇滚。
[00:06:15.174–00:06:17.548] 这这个音乐音乐人。
[00:06:18.470–00:06:24.972] 所以他慢慢的理解了，你去看这个B故事，你如果怀呃你这个为B故事，你去看他的打点。
