P045 二十一课-谈几个进阶问题（下）21.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=45
CID：239868634
源文件 SHA256：7218b44713d213a0b0ababfd15f7dc3b1924ac6a12c289a9f0a91079a5f3a688

[00:00:09.894–00:00:11.084] 然后第三。
[00:00:11.750–00:00:13.004] 关于主角的。
[00:00:14.886–00:00:15.596] 出现问题。
[00:00:18.246–00:00:19.436] 关于主角的出生问题。
[00:00:20.102–00:00:24.428] 主角出生问题啊，很多实操的作品中啊，大家会。
[00:00:24.998–00:00:29.228] 讨论一个到底是高开还是低开更好更顺的问题。
[00:00:29.734–00:00:33.868] 在这里我统一给大家回答一下啊，我是比较倾向于低开。
[00:00:34.502–00:00:37.100] 我希望我们的主角从平凡中来。
[00:00:38.374–00:00:39.724] 就他从平凡中来。
[00:00:43.846–00:00:44.876] 开场低开。
[00:00:45.446–00:00:46.284] 比较好做。
[00:00:47.014–00:00:49.484] 但是可以有血统。
[00:00:53.382–00:00:54.188] 可以有血统。
[00:00:54.662–00:00:56.460] 而且一般来说有噱徒。
[00:00:59.590–00:01:01.932] 在凡间，但是有血头。
[00:01:02.662–00:01:08.332] 明白这个意思吗？大家去回顾一下，大部分的片子是这么做的，因为这么做好做。
[00:01:10.182–00:01:14.636] 而且主角呢一般从平凡中来到平凡中去。
[00:01:15.302–00:01:16.396] 到平凡中去。
[00:01:19.878–00:01:20.620] 比如说。
[00:01:21.702–00:01:22.668] 我不是药神。
[00:01:24.326–00:01:26.060] 我不是药神开场。
[00:01:26.758–00:01:27.628] 徐峥在干嘛？
[00:01:29.862–00:01:30.508] 买药。
[00:01:31.558–00:01:33.068] 卖那个印度神油。
[00:01:33.574–00:01:35.532] 对吧开那种小店卖印度神油。
[00:01:36.582–00:01:37.228] 然后。
[00:01:38.566–00:01:42.636] 他在经历了一系列的大风大浪中之后。
[00:01:43.110–00:01:54.124] 也赚过钱，也救过人，也也有很多人跟着他，对吧？也有很多人这个这个这个指望他，然后呢又去蹲监狱。
[00:01:54.726–00:01:55.884] 最后出来以后。
[00:01:59.974–00:02:01.388] 他从监狱出来以后。
[00:02:02.918–00:02:05.292] 他小舅子周一为去接着他。
[00:02:07.302–00:02:08.524] 出狱以后，他小舅。
[00:02:08.998–00:02:09.996] 接了他问他。
[00:02:11.014–00:02:12.876] 出来了，打算干点啥呢？
[00:02:14.950–00:02:15.948] 接着卖巡游。
[00:02:17.414–00:02:18.316] 接着卖谁油。
[00:02:18.950–00:02:22.828] 这就是我说的，从平凡中来到平凡中去。
[00:02:23.622–00:02:24.588] 到平凡中去。
[00:02:26.310–00:02:32.876] 哎，不过有同学会问啊，那呃我不是药神，这个这个这个呃主角。
[00:02:33.510–00:02:34.412] 没有血统啊。
[00:02:34.982–00:02:39.500] 他可不是什么遗落在民间的王子，是吧？
[00:02:41.766–00:02:55.692] 因为他不是他是个现实题材的片子，所以他不可能当然不可能是王子这种噱统。但是大家去看我的人物看人物小传那一课里面血统包括什么？
[00:02:56.230–00:03:07.756] 学统除了你的出身教育背景，教育背景也算学统啊，同学们啊，教育背景也算学统。除了你的出身，你的教育背景以外，还有个东西也叫血统，叫家庭关系。
[00:03:10.822–00:03:11.948] 他有学头。
[00:03:12.710–00:03:14.700] 他有个当警察的小舅子。
[00:03:15.334–00:03:18.636] 而且他这个当警察小舅子就是抓卖假药。
[00:03:20.070–00:03:25.772] 对这件事情，这个血统对于它的主线卖假药，它不就是一个。
[00:03:27.206–00:03:29.164] 有相当影响力的血统吗？
[00:03:29.734–00:03:32.652] 你要卖假药，然后你家里有人是。
[00:03:33.990–00:03:35.820] 警察专抓卖假药。
[00:03:36.774–00:03:37.548] 这就是血统。
[00:03:38.470–00:03:39.020] 明白吧？
[00:03:39.878–00:03:42.860] 所以这里关于这个主角出身的问题。
[00:03:43.782–00:03:44.556] 我认为。
[00:03:46.246–00:03:47.692] 平房开比较好。
[00:03:49.894–00:03:51.212] 但是最好有血统。
[00:03:51.910–00:03:57.196] 最好有学徒，然后你从平凡中来的话，就让他最后回平凡中去。
[00:03:59.590–00:04:00.460] 回平凡中去。
[00:04:06.822–00:04:14.924] 加勒比海盗大家记得吧？这个我也在课上给大家讲过这个片子，加勒比海盗的结构。我们说加勒比海盗的主角是谁？
[00:04:16.230–00:04:23.660] 克纳对吧？奥兰多布鲁姆嘛，那那个角色他演的那个那个小男那个那个男孩叫特纳。
[00:04:26.406–00:04:27.660] 他是个铁匠。
[00:04:29.254–00:04:30.284] 平凡不平凡。
[00:04:31.014–00:04:32.076] 他在一个。
[00:04:32.582–00:04:36.140] 海边小镇做铁匠平繁吗？平凡。
[00:04:36.710–00:04:37.580] 有没有血统？
[00:04:38.374–00:04:41.996] 有啊，他是著名海盗特纳的儿子呀。
[00:04:42.470–00:04:44.204] 而且他这个身份隐藏了。
[00:04:44.678–00:04:59.500] 那个小女孩帮他隐藏了嘛，伊丽莎白和他父亲把这个特纳从海里救下来的时候，她脖子上挂着海盗的金牌。伊丽莎白把这个金牌给给密了，给藏起来了，等于隐藏了特纳的。
[00:05:00.326–00:05:02.156] 学徒身份。
[00:05:03.078–00:05:04.748] 然后让他从平凡中来。
[00:05:06.246–00:05:06.860] 明白吗？
[00:05:07.686–00:05:13.068] 啊，当然很多人有疑问问我，加勒比海盗的主角是谁？加勒比海盗的主角不要问，就是特纳。
[00:05:13.574–00:05:15.436] 不可能是杰克船长呀。
[00:05:16.806–00:05:18.156] 不可能是这个船长呀。
[00:05:18.726–00:05:22.380] 我们说主角的要有主动力啊，我们这个这个。
[00:05:22.950–00:05:26.316] 加勒比海盗的故事是什么来着？我让大家拉片了，是不是？
[00:05:27.238–00:05:29.068] 加勒比海盗的故事是。
[00:05:29.926–00:05:32.364] 一个叫什么？那叫。
[00:05:33.638–00:05:43.532] 官二代的千金呃，官二代那个女孩伊丽莎白，她她爹是反正类似于市长吧，咱们就暂且叫她。好吧，海边小镇那个市长。
[00:05:44.550–00:05:51.244] 和这个我们这个男主角铁小铁匠，但是这个小铁匠有一个隐藏身份，他是著名海盗之子。
[00:05:51.718–00:05:53.004] 两个人呢有。
[00:05:54.758–00:05:56.076] 有有情愫。
[00:05:57.190–00:06:17.308] 这个女的最起码很挚烈的爱着这个男孩，但是这个男孩呢因为自己身份低V，身份低微呀，他不他不敢呀，人家是什么身份，你是什么身份？所以他不敢，所以开场戏是什么？这个女孩喜欢这个男孩，然后就跟这个男孩去撒娇。你这个男孩到铁匠嘛？
[00:06:17.446–00:06:23.372] 到这个他们家的王府来送宝剑，给他爹做了把宝剑嘛，等于是来送货。
[00:06:23.878–00:06:28.652] 对吧送货上门，然后呢就送这儿，然后在这等着。然后这个这个女孩呢。
[00:06:29.734–00:06:49.692] 就在里面穿那个束胸，代表他被束缚的人生嘛，穿那种很紧的束胸束上之后喘不过气儿来嘛，差点晕过去。然后呢，穿上之后就跑出来啊，这个就是跟这个小男孩，就他俩像小时候一样，就跑过来跟他撒娇，明显的就是喜欢这个男孩。这个男孩呢。
[00:06:49.958–00:06:50.540] 不敢。
[00:06:51.494–00:06:54.124] 然后呢，当着人家女孩的父亲的面。
[00:06:55.334–00:06:56.588] 那个那个那个。
[00:06:57.190–00:07:03.468] 这个小姑娘就说你你别毕恭毕敬的，咱俩是好朋友，你叫我伊丽莎白就可以了呀。
[00:07:04.198–00:07:25.052] 对吧然后这我们这个这个这个男主角就不敢嘛，就说不行不行，对吧？你是叫他姓什么呢？死亡吗？啊说你s望小姐，我不可以，然后这个女的就很生气，人家的爹呢就带着这个女孩去见她心目中比较满意的那个女婿，就是那个江。
[00:07:25.542–00:07:29.996] 将军对吧？道貌岸然那种贵族将军带着一头假发那种。
[00:07:30.662–00:07:38.764] 然后呢，我们这个男主角就在人家走远了，才敢叫一声，再见伊丽莎白，把爱情塑造好。
[00:07:39.270–00:07:40.044] 然后呢。
[00:07:40.518–00:07:41.804] 激率事件是什么呢？
[00:07:43.622–00:07:44.588] 到了海边。
[00:07:45.382–00:07:46.316] 我们这个。
[00:07:47.558–00:08:07.548] 这个这个伊丽莎白因为生气，对吧？恨自己喜欢的男孩不争气，也不敢表白，连叫我名字都不敢。然后呢，我爹又来带带我见这个。哎呀，这个油油头粉面的这个贵族公子哥，对吧？一气之下呢，再加上穿的那个束胸太憋气了。
[00:08:07.878–00:08:09.132] 也两眼一黑。
[00:08:10.214–00:08:10.924] 掉海里。
[00:08:12.390–00:08:14.380] 这就是激励事件掉海里。
[00:08:16.550–00:08:18.732] 其他情节我就不说了，你们自己去拉。
[00:08:19.270–00:08:24.396] 然后最后这个女孩被海盗掳走，然后绑架。
[00:08:25.030–00:08:29.932] 这个我们的这个男主被迫上呃要上路去救回自己的。
[00:08:30.982–00:08:42.540] 姑娘，然后呢，因为他没有经验，所以就需要找一个搭档，就是我们的你们认为的男一，其实是男二的杰克船长陪他一起去。
[00:08:43.174–00:08:46.796] 杰克船长呢是想找黑珍珠号，他呢是想找自己的。
[00:08:47.814–00:08:49.868] 女神找爱情。
[00:08:54.726–00:08:57.196] 然后经历过生死考验以后。
[00:08:57.798–00:08:59.116] 过程咱都不讲了。
[00:08:59.878–00:09:01.100] 回到平凡中来。
[00:09:01.958–00:09:09.004] 从平凡中来到平凡中去，最后一个镜头是什么呢？把女孩救回来了，终于。
[00:09:10.054–00:09:19.724] 有情人终成眷属啦，两个人站在女孩当时从掉下去的那个悬崖边上，两个人抱在一块儿。
[00:09:20.358–00:09:21.548] 达成了爱情。
[00:09:22.086–00:09:34.252] 这就是典型的从平凡中来到平凡中去。如果开场的时候，伊丽莎白说，你叫我伊丽莎白就好了。然后你说好的，伊丽莎白，然后嘎一莎就亲上去，这个故事就没有了。
[00:09:35.270–00:09:40.748] 因为你折腾了半天，最后不也是就这样了吗？不一定是你们俩在一块儿就行了吗？
[00:09:41.222–00:09:42.924] 你开始你早干什么来着？
[00:09:43.430–00:09:46.860] 对不对？所以说从平凡中来到平凡中去。
[00:09:48.614–00:09:53.132] 都是这样大部分啊，然后再说一个。
[00:09:53.926–00:09:55.340] 哇，这节课说的有点多啊。
[00:09:56.838–00:09:57.868] 这边擦一下。
[00:10:11.238–00:10:11.948] 第几个了？
[00:10:12.486–00:10:17.292] 啊，管他第几个呢？反正对第4个啊，就是主角的。
