P051 二十五课-观影情绪节拍表25
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=51
CID：272336072
源文件 SHA256：8d0dd3fc95304c6fc43a7fca9a2ad7bcbf8648183da4304a92f968a78f957044

[00:00:10.374–00:00:12.364] 同学们好啊，又上课了。
[00:00:13.478–00:00:14.892] 上节课咱们。
[00:00:15.718–00:00:16.716] 剖袭烂片来的。
[00:00:17.350–00:00:17.772] 是吧。
[00:00:18.630–00:00:20.300] 以战国为例。
[00:00:21.062–00:00:22.252] 偷析了一下烂片。
[00:00:24.390–00:00:30.732] 也想了想解决了办法，我也布置了作业，大家可以自己练习练习，好吧。
[00:00:32.038–00:00:35.148] 学习这个东西啊，你就得多练多写。
[00:00:36.230–00:00:37.388] 这玩意儿就跟。
[00:00:38.246–00:00:41.388] 你的飞行员学开飞机一样，对吧？
[00:00:41.862–00:00:43.276] 你学会各种。
[00:00:43.782–00:00:49.164] 技巧知道每个按钮作用之后呢，你得有多少多少个。
[00:00:49.702–00:00:53.452] 小时的那个那个什么飞行量，你才能。
[00:00:53.958–00:00:58.252] 毕业才能拿证是吧？咱这编剧也是呀。
[00:00:59.270–00:01:00.332] 我感觉啊。
[00:01:02.214–00:01:03.020] 嗯。
[00:01:04.454–00:01:14.284] 50万，比如说你没有个50万字的磨合期是吧？是不行的。所以大家多写啊，上节课的内容里边啊。
[00:01:15.110–00:01:17.836] 呃，我不知道大家记不记得，我给大家讲过。
[00:01:18.854–00:01:22.668] 你判断一个片子或者一个剧本故事。
[00:01:23.526–00:01:26.700] 是好还是不好的时候，可以从。
[00:01:27.302–00:01:29.740] 四个方面去看。
[00:01:30.854–00:01:34.476] 上节课跟大家讲了四个方面，分别是。
[00:01:35.046–00:01:35.660] 结构。
[00:01:37.126–00:01:37.996] 元素。
[00:01:42.854–00:01:43.532] 情感。
[00:01:48.454–00:01:49.484] 和情绪。
[00:01:50.118–00:01:56.364] 就说一个片子拍出来也好，或者是一个剧本写出来也好，你都可以从这四个方面。
[00:01:57.382–00:02:06.636] 去卡一卡呃这个这个完成的怎么样，对吧？是不是个好东西，结构是啥呢？结构就是我们常说的你的故事类型。
[00:02:07.174–00:02:15.628] 你的设定与对抗对吧？你的世界设定，你的人物设定，你的规则设定，然后你的对抗你都做了哪些对抗，谁跟谁对抗？
[00:02:17.222–00:02:17.932] 然后呢。
[00:02:18.438–00:02:28.140] 你如果别人问你写了个啥故事，这个电影讲了个啥故事，你用两三句话讲给别人听的时候，你说的那几句话往往就是结构。
[00:02:28.870–00:02:29.932] 往往就是结构。
[00:02:31.014–00:02:32.044] 这个呢。
[00:02:32.678–00:02:35.756] 其实是一个故事的根本。
[00:02:36.998–00:02:44.236] 而且我还说过一个好故事，一个好作品啊，它的结构往往是简单的，干净而有力。
[00:02:46.982–00:02:47.596] 比如说。
[00:02:48.966–00:02:49.996] 加勒比海盗。
[00:02:52.518–00:02:57.676] 加勒比海报的结构简单说，不就是带着一个坏人去做好事吗。
