P054 二十八课-编剧课科目三28
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=54
CID：327535922
源文件 SHA256：bcad727ba5dbaf6c7b7e9c834751ddb8c7354f9345c5c80ee3488096ad21b493

[00:00:02.022–00:00:02.604] 。
[00:00:09.670–00:00:11.532] 同学们好啊，咱们上课。
[00:00:12.582–00:00:15.372] 今天呢讲一节计划外的内容。
[00:00:15.878–00:00:16.524] 为什么呢？
[00:00:17.062–00:00:18.860] 是因为我最近发现一个问题。
[00:00:19.590–00:00:20.908] 一个严重的问题。
[00:00:21.990–00:00:23.244] 就是咱们这个课呀。
[00:00:23.878–00:00:25.548] 已经上了一年了。
[00:00:26.278–00:00:29.804] 很多同学从一开始就听课啊，听到现在也一年了。
[00:00:32.326–00:00:34.252] 竟然一个字儿都还没写呢。
[00:00:37.126–00:00:38.380] 啥情况啊，你们。
[00:00:39.334–00:00:40.780] 然后我就很生气啊。
[00:00:41.638–00:00:43.340] 因为我强调过呀。
[00:00:44.070–00:00:46.764] 编剧这个东西你要写，你要练呀。
[00:00:47.366–00:00:51.532] 我不是还说过吗？你怎么也得有个50万字的磨合期吧，对不对？
[00:00:52.038–00:01:00.364] 你得写你得练才能发现问题，才能更深刻的理解咱们的课程，才能提高自己，对不对？
[00:01:04.326–00:01:08.268] 然后我也简单仿听了一下，就是这类同学他是咋想。
[00:01:09.894–00:01:11.308] 我发现分两类。
[00:01:12.710–00:01:13.580] 一类呢。
[00:01:14.470–00:01:15.180] 就是。
[00:01:16.678–00:01:17.772] 非常的不自信。
[00:01:18.534–00:01:22.028] 就说老师我还没准备好，我基础太差。
[00:01:22.982–00:01:33.452] 我想把您的课都听完了，再好好巩固巩固，我再开始写。我现在真的是我怕写出来丢脸，贻笑大方，不好意思。
[00:01:34.502–00:01:35.308] 这是第一种。
[00:01:36.422–00:01:37.772] 就是过于不自信了。
[00:01:39.398–00:01:40.364] 第二种呢。
[00:01:40.870–00:01:42.988] 就相反过于自信了。
[00:01:43.590–00:01:50.732] 我问他你咋还没写呢？他说老师你可能不了解情况。我有一个故事啊，能震惊世界。
[00:01:52.070–00:01:54.668] 等我酝酿好了，我只要一写哎。
[00:01:56.390–00:02:01.036] 别说拿奥斯卡或者金棕榈什么的吧，至少他必须得给我商业化。
[00:02:01.638–00:02:05.036] 我这个故事上来就得挣大钱，300万起跳。
[00:02:05.766–00:02:06.220] 是吧。
[00:02:08.838–00:02:12.940] 就分这两种同学，一种十分不自信，一种十分自信。
[00:02:13.862–00:02:15.180] 同学们都不可取啊。
[00:02:17.382–00:02:18.380] 赶紧给我写。
[00:02:19.366–00:02:20.332] 赶紧给我练。
[00:02:21.990–00:02:26.124] 因为你光说不练是不行的，同学们光听课没有用。
[00:02:27.046–00:02:29.036] 你还是得自己写自己练。
[00:02:31.110–00:02:32.716] 这就像啥，你知道吗？像。
[00:02:34.790–00:02:38.956] 像学车，比如说对吧？我是你们的驾校教练。
[00:02:39.750–00:02:41.196] 我可以教会你们。
[00:02:41.830–00:02:42.796] 所有的东西。
[00:02:43.782–00:02:49.420] 基本上所有的规则和所有的技巧，我其实都跟你们说说了说过。
[00:02:51.110–00:02:53.132] 但是你自己不上路练。
[00:02:54.470–00:02:55.628] 肯定是不行的。
[00:02:56.390–00:02:57.772] 你还是得上路呀。
[00:02:59.302–00:03:02.476] 对吧哪怕上来先慢点，怂点儿。
[00:03:03.270–00:03:14.828] 溜边先开对不对？或者找个没人的地方开，你不自信，你就找个没人的地方开嘛，你自己写了，你你自己看嘛，对不对？
[00:03:16.358–00:03:23.948] 太自信了也不行啊，你撞了怎么办？你把别人你撞了，你自己还好说，你把别人撞了咋整？
[00:03:24.838–00:03:34.796] 对吧这两类同学都不行啊，就好像他妈学车，我带你们上路。第一类就哎呀，我不敢我不敢上路，我我我我害怕。
[00:03:35.494–00:03:37.356] 第二类呢就是过来一探头。
[00:03:39.238–00:03:40.364] 这是F1吗？
[00:03:41.030–00:03:42.380] 不是F1赛场啊。
[00:03:42.854–00:03:48.620] 不是F一赛场，我可不开啊，我学车是为了开F一的对吧？我为了。
[00:03:49.542–00:03:54.476] 那个那个上那个F1赛道的这个普通的马路我不开。
[00:03:55.398–00:03:57.228] 哎呀，这两种情况都不行啊。
[00:03:58.758–00:03:59.468] 必须得练。
[00:04:00.134–00:04:01.388] 必须得写。
[00:04:04.038–00:04:06.732] 但是这个情况既然普遍存在啊。
[00:04:07.558–00:04:09.196] 那也不能怪全怪同学们。
[00:04:10.374–00:04:10.892] 怪我。
[00:04:11.398–00:04:11.756] 对吧。
[00:04:12.358–00:04:13.356] 我是个老师呀。
[00:04:14.534–00:04:16.428] 我得帮大家解决这个问题。
[00:04:17.446–00:04:19.148] 其实像这两种情况啊。
[00:04:20.358–00:04:22.220] 都是比较典型的拖延症。
[00:04:23.014–00:04:24.460] 灰眼那其实就是这种情况。
[00:04:25.126–00:04:27.276] 拖延症一般不是懒。
[00:04:27.750–00:04:31.500] 或者不是常规意义上你们认为的懒是给懒找借口。
[00:04:32.358–00:04:33.932] 一般的借口就是我还没准备好。
[00:04:35.366–00:04:39.436] 对吧我一旦一旦到哪个时间点，我开我就开始。
[00:04:40.038–00:04:40.812] 我就开始干。
[00:04:41.638–00:04:42.860] 这就是标准的拓延长。
[00:04:44.614–00:04:47.436] 那既然普遍存在，咱们就来解决一下这个问题啊。
[00:04:51.174–00:04:56.364] 解决这个问题，那你首先就得知道这个问题的原理，知道拖延症的原理。
[00:04:57.158–00:05:01.804] 会员这的原理其实特别简单，就是你不愿走出自己的舒适区。
[00:05:04.006–00:05:06.508] 就是你缩在自己的舒适区里了。
[00:05:07.430–00:05:11.116] 咱们知道这个这个舒适区啊，这个概念啊，心理学上说。
[00:05:12.646–00:05:15.884] 人类对外部世界的认知啊分三个区，对吧？
[00:05:16.902–00:05:17.804] 舒适区。
[00:05:19.910–00:05:21.452] 然后学习区。
[00:05:24.134–00:05:24.908] 然后。
[00:05:26.022–00:05:28.140] 恐慌区吧是叫对吧？
[00:05:29.766–00:05:30.892] 就分这三个区。
[00:05:32.038–00:05:34.252] 然后呢，我们大部分人啊。
[00:05:37.734–00:05:40.844] 大部分人的大部分时候是喜欢。
[00:05:41.510–00:05:44.844] 缩在自己的舒适区里的，为啥特舒适呀？
[00:05:45.734–00:05:50.636] 舒适，所以你会有安全感。你在舒适区里呆着呢很安全。
[00:05:52.454–00:05:54.316] 但学习这件事情呢。
[00:05:54.854–00:06:00.492] 他就肯定在学习区里了，要不这个这一层也不会叫学习区嘛，与学习有关的事情啊。
[00:06:01.766–00:06:02.860] 都在学习区里。
[00:06:05.990–00:06:06.860] 比如说啊。
[00:06:08.326–00:06:09.068] 看书。
[00:06:10.982–00:06:11.724] 写作。
[00:06:12.838–00:06:14.348] 都在自己的学习区里。
[00:06:17.798–00:06:21.804] 那恐慌区是啥呢？恐慌区就是你去了之后啊。
[00:06:23.942–00:06:27.596] 比学习区还不适应，就到恐慌的程度了。
[00:06:28.614–00:06:29.292] 害怕。
[00:06:30.182–00:06:30.764] 你知道吗？
[00:06:31.942–00:06:32.684] 比如说。
