P055 二十九课-剧情要有攻击性29
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=55
CID：333133917
源文件 SHA256：5dbba6748263f98bf2986a913d53726633244ab0c966296176e408575f056ba0

[00:00:02.022–00:00:02.412] 。
[00:00:09.510–00:00:11.372] 同学们好啊，咱们上课。
[00:00:12.102–00:00:14.284] 上节课呢布置了一个作业，对吧？
[00:00:14.886–00:00:17.804] 让大家根据这个这个。
[00:00:18.598–00:00:21.228] 绿野仙踪和菊次郎的夏天。
[00:00:21.734–00:00:23.468] 这两个片子的结构。
[00:00:24.838–00:00:27.244] 你自己尝试练习着写一个。
[00:00:27.942–00:00:28.588] 公路片。
[00:00:29.286–00:00:37.196] 要求呢以你自己为原型，按照咱们商业片的节拍去去去写，然后最后达到。
[00:00:38.630–00:00:40.972] 其实都是我的这么一个。
[00:00:41.446–00:00:42.860] 合题对吧？
[00:00:43.942–00:00:44.876] 这个这个。
[00:00:46.278–00:00:49.836] 很多同学已经写了啊，我已经看到有很多同学交作业了。
[00:00:50.566–00:00:52.172] 在这个交作业的平台上。
[00:00:55.654–00:01:01.612] 编剧学习啊你就是得写得列。然后呢，这样咱们才能发现问题。
[00:01:02.118–00:01:04.300] 这节课呢咱们就根据同学们。
[00:01:05.030–00:01:07.020] 这个作业里面出现了问题。
[00:01:07.910–00:01:12.140] 讲一个比较实用的小技巧吧，讲一个实用的技巧。
[00:01:13.574–00:01:15.916] 啊，有些同学问啊，说这个作业咋交？
[00:01:16.390–00:01:21.004] 我上次直播的时候，有很多同学问说，哎，这个老师你光布置作业，这个作业咋交？
[00:01:21.862–00:01:24.716] 问这个问题，很显然你是还没有进入我们的。
[00:01:25.414–00:01:26.028] 学习群。
[00:01:26.822–00:01:30.476] 咱们这个课是有学习群的啊，里面已经有几万个同学了。
[00:01:30.950–00:01:32.300] 分好多好多班级。
[00:01:33.958–00:01:41.900] 这个呃同学们如果想深度参与学习啊，参与学习和交流啊，可以去加那些学习群啊。
[00:01:42.790–00:01:47.052] 这个很多同学没加，我也理解，因为网上啊凡是让你加群的。
[00:01:47.622–00:01:48.492] 很多都是。
[00:01:49.030–00:01:50.604] 都是要骗你点啥，对吧？
[00:01:51.462–00:01:55.852] 嗯，确实有这样，我新闻不是还有一个嘛，说那个那个有个群。
[00:01:56.486–00:01:57.388] 呃，300人。
[00:01:57.926–00:02:02.572] 299个是托儿，就进去一个杀猪盘，你知道吧？就进去一个。
[00:02:03.206–00:02:04.012] 被骗的。
[00:02:05.510–00:02:10.284] 这种情况确实很多啊，而且网上十有八九是这种。但是咱们的学习全不是啊。
[00:02:10.822–00:02:12.780] 咱们的学习群主要用来干啥呢？
[00:02:13.478–00:02:22.028] 咱们的学习群首先是都是咱们的同学，而且也是由咱们的同学组成的班委会在运营这些群里边主要在干啥呢？
[00:02:23.014–00:02:23.724] 主要是。
[00:02:24.294–00:02:34.156] 学习交流啊呃这个圈子里面的这个资讯的交流呀，对吧？或者大家岗位互补互助呀，组成团队呀。
[00:02:34.886–00:02:36.332] 然后还有就是。
[00:02:37.542–00:02:38.732] 呃，有作业。
[00:02:39.302–00:02:42.764] 有打卡，有考试，有进阶的考试。
