P056 三十课-人类为什么需要影视剧30
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=56
CID：383686698
源文件 SHA256：df5e7224ccbb7655819337cfd86025020819fb337506d6ed565b7dd82c40a016

[00:00:02.022–00:00:02.412] 。
[00:00:11.622–00:00:13.516] 同学们好啊，咱们上课。
[00:00:14.630–00:00:17.132] 嗯，这次挺久没上课了。
[00:00:19.910–00:00:20.748] 挺不好意思的。
[00:00:21.446–00:00:25.004] 再加上前段时间呢，咱们上过线下课，对吧？
[00:00:25.798–00:00:33.548] 嗯，有些同学也看到了，所以会产生些疑问，说老师是不是转战线下了，线上课不给更了。
[00:00:34.406–00:00:35.564] 没有这个意思啊。
[00:00:36.582–00:00:38.124] 这个前段时间。
[00:00:41.158–00:00:45.260] 有点生病，身体不太好啊，所以导致更新。
[00:00:45.894–00:00:46.860] 暂停了一下。
[00:00:48.102–00:00:52.172] 也有同学问，他们为什么不把线下课直接上传呢？
[00:00:52.966–00:00:54.828] 这个有啥好藏着掖着呢？
[00:00:55.974–00:01:03.212] 完全没有藏在这掖着的意思啊，线下课声音没怎么录好，本来也是打算上传的啊。
[00:01:04.230–00:01:08.492] 嗯，不过同学们不用担心啊，因为这个知识啊就是这些。
[00:01:09.286–00:01:12.236] 呃，咱们线下也好，线上也好，都会讲到的。
[00:01:13.606–00:01:14.924] 内容都是一样的啊。
[00:01:16.518–00:01:22.156] 今天呢就给大家讲一讲线下课里面讲过的一些内容，给大家补一补。
[00:01:24.134–00:01:26.828] 当然，线下课不可能跟线上课完全一样啊。
[00:01:27.622–00:01:28.652] 知识可以一样。
[00:01:29.126–00:01:30.444] 但是扯淡不一样。
[00:01:31.206–00:01:36.492] 为啥呢？因为有些蛋吧只能在线下扯，你在线上扯吧。
[00:01:37.446–00:01:42.572] 容易招骂对吧？比如说我说我刚才我刚才说我。
[00:01:43.270–00:01:43.884] 生病了。
[00:01:44.838–00:01:45.516] 身体不太好。
[00:01:46.054–00:01:47.692] 我生着这个病。
[00:01:48.294–00:02:01.196] 就政治不正确。我如果在我在线下，我就大大方方的说，我是因为什么，然后回去之后呢，产生了什么样的反应，然后啊剧烈，对吧？卧床不起。
[00:02:01.766–00:02:08.556] 但是在线上就不能这么说，因为你线上一旦说这种话，马上就会有人骂你说你什么意思？
[00:02:09.158–00:02:10.348] 你是要诋毁什吗？
[00:02:10.886–00:02:13.964] 你是不是要破坏我们这个大好形势，对吧？
[00:02:14.918–00:02:17.356] 你你要不你去国外吧，是吧？
[00:02:17.926–00:02:21.036] 滚回你的国家去是吧？全是这种话。
[00:02:22.150–00:02:23.436] 真的一点不夸张啊。
[00:02:23.910–00:02:25.804] 这个咱们上的这个课啊。
[00:02:27.078–00:02:29.164] 咱们上的这个课是个垂直领域的课。
[00:02:29.894–00:02:39.084] 按理说呢都是爱学习的同学，但是这个你再垂直你一个东西放在网上之后啊，还是有很多无关的群众会看到。
[00:02:39.718–00:02:40.396] 所以呢。
[00:02:41.478–00:02:43.948] 我基本上每个礼拜被骂个三四次吧。
[00:02:44.454–00:03:02.348] 不是很多，但是呢也有就经常骂骂你哎呀，你算的什么东西，舔着脸来讲，对吧？或者你在课程里面举过例子。比如说你举某个片子的例子，或者某个人的例子，他们也会骂你说你哎呀，你不懂就不要说，你懂个屁，对吧？
[00:03:03.046–00:03:03.884] 或者是。
[00:03:05.670–00:03:08.556] 没有什么原因，比如说你穿了衣服。
[00:03:09.062–00:03:13.836] 品牌不对，也会有人骂，对吧？说啊，这个品牌用什么什么棉花，对吧？
[00:03:14.534–00:03:17.868] 问题我录课的时候，我也不知道他会那样呀，对吧？
[00:03:18.662–00:03:27.532] 还有什么对吧呃你们这些影视圈的人还出来叨叨什么，拍的戏那么烂，还不快去给郑州捐款吧？
[00:03:28.358–00:03:29.964] 都会有这样那样的一些。
[00:03:30.598–00:03:31.372] 声音啊。
[00:03:32.742–00:03:33.996] 这个很正常啊。
[00:03:34.694–00:03:36.268] 呃，首先。
[00:03:36.870–00:03:46.796] 我一般看到这种事儿吧，我还是比较平和的啊，大家不用替我担心。有同学以为说老师，你是不是老师有人喷你，你不愿讲了呢？
[00:03:47.430–00:03:53.484] 呃，完全没有啊，大家不用担心，我对这个事情是怎么看的呢啊？就是关于网上有很多人。
[00:03:54.342–00:03:56.332] 嗯，喷攒或者是喷别人。
[00:03:57.254–00:03:57.996] 呃。
[00:03:58.694–00:04:00.684] 我其实挺开心的这个事儿。
[00:04:01.158–00:04:02.508] 两个原因。一。
[00:04:04.166–00:04:06.828] 每逢喷我们的人比较多的时候啊。
[00:04:07.334–00:04:09.996] 就证明咱们的课传播的比较好的时候。
[00:04:10.822–00:04:30.780] 因为咱们的课如果不传播的时候，内卷，那就全部是咱们自己的学生都很爱学习，他不可能喷，对吧？凡是有人骂呢，一般是这个课呢又传播到新的平台了，又有新的一帮人看到了，那自然爱学习的就学了，不爱学的呢，骂几句喷几句很正常，对吧？
[00:04:31.142–00:04:32.492] 这是我开心的第一个原因。
[00:04:32.966–00:04:34.956] 第二个原因呢就是。
[00:04:36.198–00:04:37.740] 为什么会有人喷你呢？
[00:04:38.246–00:04:48.524] 是因为话语权的下放也不叫下放吧，我们叫它话语权的普及和公平，就是人人都有发表意见的权利。
[00:04:49.478–00:04:52.908] 我认为这是个好事情，虽然有人会骂。
[00:04:53.382–00:04:57.484] 但我认为它是个好事情，为啥呢？因为这是我们年轻人的机会。
[00:04:58.630–00:05:04.556] 我自己就是通过这种机会入行上位的对吧？当年有互联网的时候。
[00:05:06.054–00:05:17.740] 实现了话语权的一次下放。我趁着那个机会，对吧？主流电视台你进不去啊。主流电视台我说过，当时能买得起首轮剧的就9家。
[00:05:18.982–00:05:19.756] 你进不去。
[00:05:20.422–00:05:25.932] 对吧你趁着这个下放的机会，哎，你进到这个行业了。
[00:05:27.430–00:05:34.348] 咱们不能说咱们趁这个机会上来了，然后就开始把门关掉，下面的人别上来了，对吧？谁也不许骂我了。
[00:05:34.918–00:05:43.788] 那你就太缺德了，对不对？你上传了，你你就知道什么上房蹬梯子，对不对？那不行呀，咱是通过这种机会上来的。
[00:05:44.390–00:05:49.996] 那么现在新的交互形式，新的媒体形式不断的把。
[00:05:51.654–00:05:56.908] 话语权把公平公正的交流方式下放给。
[00:05:57.446–00:05:58.156] 更多的人。
[00:05:59.270–00:05:59.884] 这是好事儿。
[00:06:00.742–00:06:07.052] 对于年轻人来说，只是机会，这是好事情。所以里面有个别的骂声呢。
[00:06:08.454–00:06:12.620] 也挺好的，也正常。我们应该用平和的心态去对待。
[00:06:14.310–00:06:14.988] 赶紧上课。
[00:06:15.526–00:06:18.412] 赶紧上课，不扯淡，好吧，因为为啥呢？
[00:06:19.590–00:06:26.668] 这个这个这个学习时间啊是很宝贵的。虽然是网课，没有人掐点儿，但是咱们呢也尽量。
[00:06:27.462–00:06:31.532] 呃，讲干货，从后面的课程开始啊，我们就不扯淡了。
[00:06:32.326–00:06:50.444] 当然有人喜欢听扯淡，有同学喜欢听扯淡。那我们可以单独。比如说直播的时候，咱们就纯扯淡扯个够。好吧，上课的时候呢，我们就讲知识吧，以后还是做到干湿分离，对吧？上课就讲干货，我们干湿分离，好吧，这节课讲什么干货呢？这节课的干货呢有点干。
[00:06:51.014–00:06:52.364] 确实有点干，就是。
[00:06:53.254–00:07:02.540] 我想给大家讲一讲原理性的东西，本源性的东西，为啥呢？是因为我这个在跟同学接触的过程中啊。
[00:07:04.198–00:07:05.356] 我发现一个问题啊。
[00:07:06.086–00:07:06.764] 就是。
[00:07:07.782–00:07:13.932] 我们讲太多的技术，讲太多的方法以后，很多同学在创作中啊。
[00:07:14.918–00:07:20.652] 呃，忘记了讲故事的本源，忘记了本心了，忘记创作。
[00:07:21.382–00:07:28.716] 本身最初的那个出发点了，忘记初心了，这么说吧，就是他过度的讲究方法。
[00:07:29.574–00:07:34.764] 当然我还发现另外一个问题，就是通过上线下课呀，或者是通过跟很多同学接触呀。
[00:07:35.462–00:07:37.516] 很多同学拿这个这个这个这个。
[00:07:38.374–00:07:39.692] 他写了东西给我看。
[00:07:41.350–00:07:51.340] 我这个人因为讲课讲了也一年多了，跟同学们我也不拿大家当外人了。所以我说的话就比较实在。我就就一看，哎呀，我说哎呀这位保友。
[00:07:51.814–00:07:59.980] 你这个东西你这个东西不行啊，这作为保友，这这这不行啊，这这什么玩意儿？
[00:08:00.678–00:08:04.460] 结果啊我就发现那个同学从此以后再也没有出现过。
[00:08:06.214–00:08:10.924] 就就我我也不知道他可能也退群了吧，就是自从班级群里直接就退掉了。
[00:08:11.654–00:08:14.572] 这个要不得啊，就是咱们不能这个。
[00:08:15.942–00:08:22.092] 同学们不能这个太脆弱啊，虽然你感觉你听了一年的课会了一些方法了，但是。
[00:08:22.854–00:08:24.908] 这个这个不代表你现在能打。
[00:08:26.118–00:08:29.772] 这个一定要保持心态啊，因为写东西啊。
[00:08:30.246–00:08:31.084] 呃。
[00:08:31.558–00:08:35.276] 没有那么难，但也没有那么简单，你得多练。
[00:08:35.942–00:08:39.660] 大部分同学拿给我的东西啊，是他的第一个作品。
[00:08:41.062–00:08:51.404] 第一个作品呢一般倾注的心血是确实是比较多。他自己呢有一个很美好的遐想，对这个东西。所以我一旦说不好呢。
