P057 三十一课-单元剧的创作理念31
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=57
CID：385383259
源文件 SHA256：a53067980ceaa87d4bfa2eecad08783ac7ffbf6f17581e9b3f3be875f9e2e19b

[00:00:09.766–00:00:11.596] 同学们好啊，咱们又上课了。
[00:00:12.070–00:00:13.772] 昨儿刚录的课，今天接着录。
[00:00:14.854–00:00:17.068] 最近有时间嘛，就多录一点啊。
[00:00:18.054–00:00:23.564] 这节课讲啥呢？这节课讲的内容呢，很多同学其实已经点播很久了啊。
[00:00:24.454–00:00:26.028] 讲单元句。
[00:00:27.398–00:00:28.268] 讲一下单元句。
[00:00:28.774–00:00:33.676] 单然剧算是一个比较大的门类啊，比较大的门类，它有自己的特点。
[00:00:34.310–00:00:35.660] 所以呢很值得讲一讲。
[00:00:36.934–00:00:42.604] 当然了，通过一节课的时间未必能讲得很透彻，咱就尝试着跟大家探讨探讨啊。
[00:00:43.654–00:00:44.460] 这个。
[00:00:45.734–00:00:47.180] 其实从上节课开始啊。
[00:00:47.814–00:00:50.348] 上节课讲这个人为什么要看电影？
[00:00:50.854–00:00:51.724] 从这个角度。
[00:00:53.734–00:00:55.308] 其实呢我们就是在。
[00:00:56.326–00:01:02.796] 灌输一种新的学习逻辑和学习理念。啥理念呢？就是我们以后啊不管学。
[00:01:03.750–00:01:04.524] 学到啥？
[00:01:05.318–00:01:09.836] 知识学到啥门类，不光是影视啊，你学别的知识也是啊。
[00:01:10.406–00:01:13.836] 我们必须有一个基本的思维，就是。
[00:01:15.142–00:01:17.292] 遵循原理，扬长避短。
[00:01:18.598–00:01:20.620] 啥叫遵循原理？扬长避短呢？
[00:01:21.222–00:01:25.804] 追循原理就是你得知道这个东西它是怎么来的，它为什么会存在？
[00:01:26.630–00:01:28.364] 对吧他是什么道理？
[00:01:29.222–00:01:30.828] 你得从原理上了解它。
[00:01:31.910–00:01:38.956] 然后呢，一个东西你了解了它的原理之后，你就会知道它的长处和短处。因为所有的东西都有长处和短处。
[00:01:40.550–00:01:41.388] 你就可以。
[00:01:42.438–00:01:45.100] 发挥它的长处，弥补它的短处。
[00:01:46.662–00:01:48.972] 就是坐在长处上去填那个短处。
[00:01:49.478–00:01:52.908] 所有的东西其实都是这样？上节课讲影视剧，我们说。
[00:01:53.990–00:02:01.132] 人为什么爱看影视剧？我们先得了解这个原理，对吧？影视剧是一个艺术啊，我们就先讲讲艺术是个啥。
[00:02:01.990–00:02:03.340] 人为啥需要艺术？
[00:02:04.230–00:02:10.732] 对吧猫啊狗了咋不需要艺术呢？人为什么需要艺术？这个东西吃饱了撑的需要个艺术。
[00:02:11.622–00:02:12.588] 我们得先搞清楚。
[00:02:13.318–00:02:17.740] 然后呢，影视剧它是艺术中的一个门类，比较新的一个门。
[00:02:18.214–00:02:22.092] 而且呢比较全面。我昨耳也说了，它里面包含了其他艺术。
[00:02:22.566–00:02:28.332] 有文学在里面，有音乐在里面，有画面在里面，对吧？甚至有剪辑艺术在里。
[00:02:30.438–00:02:34.124] 它是一个新的艺术形式，我们就可以推导出。
[00:02:34.694–00:02:38.156] 人为什么爱看影视剧？为什么需要这个东西？
[00:02:38.886–00:02:48.460] 然后我们再从审美的角度讲了人去审美艺术的时候，他内心的内心真实的内需，内在需求到底是什么？
[00:02:49.318–00:02:51.212] 然后你了解了这些原理之后。
[00:02:52.358–00:03:00.652] 你看你在写你的影视作品的时候，你就知道原理是什么咋回事，你也知道影视这个艺术。
[00:03:01.542–00:03:05.292] 相对于其他艺术，他一定也是有它的优点和缺点。
[00:03:06.982–00:03:16.524] 我们不能说我们自己是搞影视的啊，影视牛逼，影视全面，影视表现形式丰富，所以呢肯定就比小说强比漫画强。
[00:03:17.222–00:03:21.420] 那可就不见得，小说漫画活的好好的对吧？活的好好的。虽然你。
[00:03:21.926–00:03:39.596] 看起来比他全面，但他活的好好的，为什么呢？就是因为你有你的长处，也有你的短处，他有他的长处，也有他的短处，谁也灭不了谁，对吧？影视作品里面有那么多插曲主题曲、片尾曲，你也干不掉流行音乐嘛，对不对？
[00:03:40.966–00:03:42.540] 各有长短。所以说。
[00:03:43.686–00:03:45.164] 八个字的学习逻辑。
[00:03:46.694–00:03:54.092] 遵循原理，扬长避短，这就是我们从上一节课开始给大家灌输的一个东西。所以这节课讲。
[00:03:54.630–00:03:58.124] 单元句我们同样是用这个逻辑去思考。
[00:03:58.694–00:03:59.180] 就是。
[00:03:59.686–00:04:02.956] 先遵循原理，就是单人剧它是个什么东西。
[00:04:03.494–00:04:04.556] 他为什么会存在？
[00:04:05.222–00:04:08.716] 对吧它的特点是什么？然后找到它的特点以后呢。
[00:04:09.382–00:04:09.964] 扬长避短。
[00:04:10.662–00:04:16.428] 两两必短对吧？单元剧不同于电影，不同于其他的连续剧，那它一定有自己的特点。
[00:04:16.902–00:04:20.204] 我们就从这个思路去学习这节课，好吧。
[00:04:21.766–00:04:22.700] 啊，插一句啊。
[00:04:23.974–00:04:26.348] 我因为很三个月没上课了吧，是吧？
[00:04:27.014–00:04:29.676] 我因为三个月没上课了啊，所以这个这个。
[00:04:30.278–00:04:41.868] 在在准备今天上课之前呢，我昨天把前面我上过的课少了一点，因为我早期上课啊，不瞒同学们说啊上的有点随心所欲，确实。
[00:04:42.374–00:04:46.988] 讲了些什么，我其实自己也不太记得了，因为很多课也没有备课。
[00:04:47.622–00:04:49.324] 讲了些啥呀，不太记得。
[00:04:49.926–00:04:52.364] 我就往前扫了扫，看了看，我都讲了些啥。
[00:04:53.350–00:04:57.900] 别出现讲那个自我矛盾的地方是吧？原让人看出破件破绽，那咋整？
[00:04:58.598–00:05:01.356] 然后呢往前一看啊，我就顺便看了看弹幕。
[00:05:02.246–00:05:07.884] 我以前没有看弹幕的习惯啊，毕竟我到这个岁数了，弹幕对于我来说是个新兴的东西。
[00:05:08.678–00:05:18.892] 我们做影视当然知道有弹幕啊，但是一般影视剧啊，主流平台影视剧的那些弹幕啊都是假的，会花钱买的，都是那个机器人。
[00:05:19.718–00:05:23.116] 或者是花花雇雇那种水军打的。
[00:05:24.038–00:05:27.404] 但是咱们这个课因为不是个商业产品，所以这个弹幕。
[00:05:27.974–00:05:31.980] 呃，应该都是真实的。但是弹幕这么多有点出乎我的意料啊。
[00:05:32.806–00:05:33.932] 然后我就看了看弹幕。
[00:05:34.406–00:05:35.820] 其中有一些弹幕啊。
[00:05:36.678–00:05:38.188] 看的让我心里。
[00:05:39.110–00:05:39.564] 有点。
[00:05:40.038–00:05:46.380] 这个这个这个心里一慌，我想今天借这个机会跟大家说一下啊，因为我经常在课前扯淡。
[00:05:47.174–00:05:55.116] 说很多生活里面的事儿与知识无关的事儿。所以有弹幕说哇，这个老师真好，不但教我们学习，还教我们做人。
[00:05:56.294–00:05:58.476] 哇，我一听这个话，我感觉有点严重啊。
[00:05:59.366–00:06:01.644] 首先在这里我要强调一下。
[00:06:02.150–00:06:08.268] 查理老师只教三样东西，第一就是知识。第二，学习方法。第三。
[00:06:08.934–00:06:09.804] 学习理念。
[00:06:12.198–00:06:13.260] 绝不教做人。
[00:06:15.302–00:06:21.004] 好吗？我没有绕任何教做人的意思，也没有任何教做人的意图。
[00:06:21.734–00:06:23.116] 因为你们作为年轻人啊。
[00:06:23.654–00:06:25.068] 教你们做人的人太多了。
[00:06:27.142–00:06:28.588] 而且你们记住一句话。
[00:06:29.990–00:06:31.468] 凡是教你们做好人的。
[00:06:34.118–00:06:34.796] 都是坏人。
[00:06:36.294–00:06:39.468] 他们把你训练成好人，他们自己当坏人欺负你。
[00:06:40.422–00:06:41.260] 明白这个道理吧。
[00:06:44.038–00:06:45.324] 不信你们回忆一下。
[00:06:46.470–00:06:48.556] 你们的爸妈什不时候教你们做不好？
[00:06:50.758–00:06:52.300] 你们的爸妈是最爱你的人。
