P058 三十二课-跟《鱿鱼游戏》学写强设定
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=58
CID：425876128
源文件 SHA256：cb227f0ec42dc29efb775e77f20bed696f23f44f514f2dcede65574289570107

[00:00:12.870–00:00:14.476] 同学们晚上好啊。
[00:00:15.238–00:00:19.148] 现在开始上课，好久没有晚上录课了，是吧？
[00:00:19.814–00:00:25.964] 很久很久没有晚上录课了，现在是晚上啊，我跟你说晚上录课有个什么区别啊？
[00:00:26.502–00:00:27.532] 晚上啊。
[00:00:28.198–00:00:29.132] 人的。
[00:00:29.702–00:00:31.212] 嗓音打开了。
[00:00:32.422–00:00:42.796] 你看他们歌手录歌啊，都是晚上录，因为人啊经经过这一天啊，嗓音才完全打开。你看我现在嗓音就打开了。
[00:00:43.334–00:00:54.188] 各位亲爱的听众朋友，大家晚上好，欢迎来到查理的编剧课是吧？反应打开了，但是缺点是什么？你知道吗？
[00:00:54.758–00:01:08.972] 缺点是脑子有点不太清楚，刚才对于看着有点精神混乱是吧？有点精神错乱。对，因为人啊上了一定年纪之后啊，你不可能全天保持高度的注意力集中。
[00:01:09.446–00:01:12.300] 精神最好的时候啊，其实就是早上和上午。
[00:01:13.158–00:01:23.052] 就是上午这个时段，早上这个时段精神最好。所以之前的课我们基本上都是选择上午录是吧？选择这个精神比较饱满的时候。
[00:01:24.934–00:01:45.244] 有利有弊吧，对吧？咱们任何事情都要扬长避短吧，不扯淡了。好吧，今天晚上呢给大家录一节课，为啥晚上赶紧录一课呢？因为最近有个片子啊特别火，很多同学强烈要求我讲一讲啥片子呢？很多同学都知道啊。
[00:01:45.702–00:01:46.764] 游鱼游喜。
[00:01:56.646–00:02:01.164] 我说鱿鱼游戏这个剧啊，最近可真是太火了。
[00:02:01.798–00:02:02.892] 火出圈了。
[00:02:03.654–00:02:04.236] 是吧。
[00:02:05.414–00:02:27.100] 我看新闻说是在什么北美呀、澳洲呀，然后在欧洲呀，全都登顶了那个电视剧收视率的榜首，霸榜了。然后全球主流的那些大综艺，对吧？那些戏大戏都邀请这些演员邀请这些主创去参加。
[00:02:27.526–00:02:29.356] 这个情况其实很少见啊。
[00:02:30.374–00:02:34.476] 为啥呢？因为说到底，这是一个。
[00:02:35.718–00:02:36.748] 东亚的剧。
[00:02:40.166–00:02:52.012] 咱们因为是上课啊，没有外人，咱们关起门来说，从学术角度啊，我们东亚呀咱们东亚呀在这个文化输出上啊一时处于。
[00:02:52.998–00:02:53.932] 略越世地位。
[00:02:54.470–00:03:08.876] 对吧剧呢就更劣势了，那肯定是很劣势呀。咱们的剧的输出啊，基本上就是东亚，咱们范围内自己自己窝里横，对吧？韩国的剧确实强，由于游戏就是韩国的啊，网飞跟韩国一起做的。
[00:03:09.862–00:03:19.148] 韩国的剧呢虽然强，但也是窝里横，对吧？像全亚洲输出韩流，对吧？这个这个这个这个各种偶像，各种这这种那叫什么？
[00:03:19.846–00:03:21.452] 练习生偶像。
[00:03:21.958–00:03:30.124] idol对吧？这种文化是他们输出。你像日本呢影视剧有时候也挺强的，也但也基本上在咱亚洲范围内。
[00:03:30.694–00:03:41.068] 晃悠对吧？这严格说就是在咱东亚晃悠，西亚都不看。然后呢，咱们中国呢也有输出的，咱们一般输出点啥啊？
[00:03:41.638–00:03:57.196] 武侠剧和修仙剧，因为这些玩意儿吧，他们其他地方不拍，不会弄。咱们呢也输出一下这个这个这个在东亚范围内，对吧？就像我们以前拍戏，经常可以卖给泰国呀、越南呀、柬埔寨呀、老挝呀这些国家。
[00:03:59.110–00:04:13.004] 嗯，当然这几年还有个趋势啊，你像修仙类啊，这个这个这个武侠类啊，还可以卖给非洲，可能与这个一带一路有关系哈，就是中国跟非洲的关系啊，就是那些黑人。
