P059 三十三课-怎样克服拖延症
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=59
CID：542014362
源文件 SHA256：4827174ce92498b86f2e7ca0b0742251b65068466be7edd563d64114d256639e

[00:00:10.502–00:00:14.284] 各位同学好啊，咱们上课今天上第三3课。
[00:00:15.846–00:00:16.396] 拖颜这。
[00:00:20.262–00:00:23.148] 第三十3课讲怎么克服拖延症啊。
[00:00:25.766–00:00:28.684] 首先说一下啊，咱们有3个月没有上课了。
[00:00:29.574–00:00:32.044] 三个月没有更新了啊，为啥呢？
[00:00:32.518–00:00:52.828] 绝不是因为拖延件是因为这三个月的时间呢，咱们在做编剧的训练营啊，做了一个编剧训练营，为期3个月。所以呢呃由于训练营的工作啊比我想象的要多。因为报名的同学呢比我们想象的这个这个这个多了一倍。然后嘞。
[00:00:53.030–00:00:58.444] 所以花了很多时间在给训练营的同学上课，包括批作业啊。
[00:00:58.982–00:01:01.324] 还有看他们的毕业作品，所以确实是。
[00:01:01.926–00:01:08.332] 经历了非常忙碌的3个月啊，然后咱们的公开课就暂停更新了一下，非常抱歉啊。
[00:01:08.966–00:01:14.476] 咱们今天开始续上，因为咱们特训营了啊，已经这个第一期已经结束了。
[00:01:16.262–00:01:24.460] 当然第二期又开始了啊第二期又开始了。但是这次咱们有所准备，对吧？调整了这个这个呃。
[00:01:25.574–00:01:29.100] 调整了一下我的工作计划。我今年上半年呢就。
[00:01:30.246–00:01:39.404] 把所有的精力放在上课上，把所有的精力放在给大家上公开课给赞，包括带大家的训练营。所以今年呢呃。
[00:01:39.910–00:01:41.612] 开始咱们再把这个。
[00:01:42.214–00:01:44.332] 课程的密度再提上来啊。
[00:01:45.350–00:01:59.788] 这是跟大家说一下呃，有很多同学问说那个特训营跟咱们公开课有什么区别啊？这里可以简单跟大家说一下这个训练营里面上的课呢呃其实是训练营是这样啊，为期三个月，一共30节课。
[00:02:00.486–00:02:03.884] 从课程内容上来说呢，主要的区别其实是。
[00:02:04.870–00:02:05.644] 更商业化。
[00:02:06.598–00:02:07.180] 更实操。
[00:02:08.134–00:02:10.188] 什么叫更商业化呢？就是说。
[00:02:11.718–00:02:15.884] 特训营啊，因为报特训营班的同学啊都是想成为职业编剧的。
[00:02:16.454–00:02:18.668] 然后职业编剧要进入这个行业。
[00:02:19.302–00:02:22.860] 最先需要掌握的其实就是商业天。
[00:02:23.590–00:02:26.668] 因为这个市场上啊能获得票房的，能获得。
[00:02:27.334–00:02:29.068] 这个这个这个大流量的。
[00:02:29.702–00:02:31.852] 作品大部分是商业的。
[00:02:32.806–00:02:38.252] 所以说，训练营更注重商业片，更注重一个片子的可看性。
[00:02:38.918–00:02:43.820] 这个呢可能更针对性更强一点。另外呢就是更实操。因为这些同学。
[00:02:44.294–00:02:44.780] 呃。
[00:02:45.990–00:02:50.540] 着急入行，着急上岗，所以呢会给他们一些更实操、更实际的方法。
[00:02:52.070–00:02:53.164] 也有一些更。
[00:02:54.598–00:02:58.828] 更实际的经验吧。但是有很多话呢其实是不太适合在。
[00:02:59.398–00:03:02.892] 公开课上说的啊，因为容易招黑容易招黑啊。
[00:03:03.494–00:03:09.868] 所以说可能就是更商业、更实操。但是我个人认为啊训练营其实最重要的是毕业作品。
[00:03:10.854–00:03:11.404] 毕业作品。
[00:03:12.230–00:03:17.804] 也就是说参加训练营的同学，我会要求他们每一个人写出一个完整剧本。
[00:03:18.310–00:03:22.412] 作为毕业作品，然后呢，我对我会对这个毕业作品。
[00:03:23.014–00:03:24.588] 进行详细的诊断。
[00:03:25.094–00:03:31.564] 给他指出问题和修改的方式，以及这个同学他本身在写作方面存在什么样的问题。
[00:03:32.166–00:03:34.412] 我认为呢这个才是最重要的。
[00:03:35.174–00:03:35.820] 为啥嘞？
[00:03:36.646–00:03:38.988] 因为在咱们这个行业啊，咱们。
[00:03:40.166–00:03:44.204] 多说几句啊，就是咱咱们这个行业里啊，目前啊。
[00:03:44.678–00:03:46.284] 编剧是有缺口的。
[00:03:47.078–00:03:48.108] 编距是有缺口的。
[00:03:48.806–00:03:50.060] 然后呢，但是。
[00:03:50.822–00:03:54.156] 投资方或者是甲方在选择编剧的时候。
[00:03:55.110–00:03:59.820] 他的第一第一准则是什么呢？其实第一准则是完成度。
[00:04:00.998–00:04:04.492] 这也是为什么新编剧很难得到机会。
[00:04:05.542–00:04:15.916] 因为老编剧已经通过自己之前的作品证明了他有操盘整个项目的能力，他能拿下，他能写完，他能有头有尾。
[00:04:17.958–00:04:18.380] 但是。
[00:04:19.174–00:04:21.516] 新编剧呢由于你没有代表作。
[00:04:22.118–00:04:23.980] 所以你怎么让别人信任你呢？
[00:04:25.990–00:04:27.212] 第一步卖出去就很。
[00:04:28.870–00:04:32.652] 但是我们说啊行业是有缺口的，他总要启用新编具。
[00:04:33.158–00:04:34.348] 总要很多项目。
[00:04:35.014–00:04:38.892] 相对小一些的项目会启用新编具，那用谁呢？用啥样的呢？
[00:04:39.910–00:04:40.300] 最好。
[00:04:40.870–00:04:43.212] 最好的方法以我的经验。
[00:04:43.782–00:04:46.284] 最好的方法就是一份完整剧本。
[00:04:47.398–00:04:49.612] 因为我平常工作里面啊。
[00:04:50.438–00:04:52.012] 花很多的时间。
[00:04:52.582–00:04:54.924] 去帮其他的投资公司选项目。
[00:04:56.198–00:05:00.172] 除了帮我自己选项目以外，我也帮其他公司做顾问选项目。
[00:05:01.062–00:05:02.956] 然后这些项目在安排编剧的时候。
[00:05:05.222–00:05:06.252] 每年都会有。
[00:05:06.918–00:05:09.356] 20%左右吧，百分之二三十。
[00:05:09.926–00:05:12.780] 的片子是会用到一个新编剧的。
[00:05:13.830–00:05:15.244] 那这个新编剧我们怎么选呢？
[00:05:16.294–00:05:17.612] 他没有代表作呀。
[00:05:18.982–00:05:20.652] 我们往往选那些。
[00:05:22.054–00:05:23.500] 写过完本的。
[00:05:24.294–00:05:25.740] 他有完整作品，虽然没拍。
[00:05:27.206–00:05:28.748] 或者他写过完整的小说。
[00:05:29.990–00:05:31.468] 至少证明人家有完成度。
[00:05:32.486–00:05:40.172] 那么我们特训营里面就要强迫每一个同学写出一个完整的毕业作品，作为你入行的敲门砖。
[00:05:41.126–00:05:43.372] 这才是我认为啊这才是。
[00:05:44.550–00:05:51.692] 训练营最重要的意义。但是很多同学搞反了是吧？很多同学呢去听课，但是毕业作品。
[00:05:52.582–00:05:53.036] 危写。
[00:05:53.638–00:05:55.564] 这个就是你的损失了，好吧。
[00:05:56.166–00:06:01.516] 也提醒一下，呃，由于咱们这个训练营第二期也已经开始招生了啊。
[00:06:02.214–00:06:04.588] 嗯，报训练营的同学，你们自己想清楚。
[00:06:05.158–00:06:06.668] 其实最核心的价值。
[00:06:07.238–00:06:07.724] 还是。
[00:06:09.062–00:06:10.572] 还是毕业作品，好吧。
[00:06:11.110–00:06:12.492] 你要做好思想准备。
[00:06:13.766–00:06:17.132] 我们第一期的训练营啊呃应该是。
[00:06:17.926–00:06:19.052] 这礼拜就结束了啊。
[00:06:19.558–00:06:21.196] 其实取得的成绩还是不错的。
[00:06:21.862–00:06:27.980] 呃，确实出现了几个好苗子啊，出现了几个同学，现在已经呃正式做编剧了。
[00:06:28.486–00:06:29.164] 有有。
[00:06:29.670–00:06:32.204] 有两个还在我身边啊，在我这儿。
