P063 职业编剧怎么用ai写剧本
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=63
CID：30110452996
源文件 SHA256：e8a0cce7392a0e7b334644569ce766a65f96d9c487e52f33b53be53d88890266

[00:00:00.198–00:00:00.812] 同学们好。
[00:00:01.510–00:00:06.764] 咱们这节课讲一个同学们这段时间呼声最高。
[00:00:07.526–00:00:08.812] 关心的一个问题。
[00:00:10.694–00:00:11.660] AI创作。
[00:00:13.798–00:00:17.740] 怎么用AI写剧本呢？怎么用AI写故事呢？
[00:00:21.190–00:00:26.604] 关于这件事情啊，同学们已经问过我很多问题了，包括上课的时候直播的时候。
[00:00:27.206–00:00:30.764] 今天统一解答一下，先解答最重要的一个问题。
[00:00:31.334–00:00:33.036] 我用不用AI写剧本。
[00:00:37.126–00:00:38.060] 我身边。
[00:00:38.790–00:00:39.596] 的编剧。
[00:00:40.390–00:00:41.068] 呃。
[00:00:42.534–00:00:45.420] 我能观测到的50%都以上都在用。
[00:00:46.022–00:00:48.780] 整个行业来说，我觉得30%也开始用了。
[00:00:49.286–00:00:52.428] 只不过当然了，用的程度不同，以我个人为例。
[00:00:52.998–00:00:55.756] 在一年多以前，我们基本上是用它来查资料。
[00:00:56.262–00:01:04.524] 对吧我们说这个他对一些资料了解的不用那么熟，现在的话就深深度应用了啊，深度应用。所以说用。
[00:01:07.334–00:01:07.852] 得用。
[00:01:08.806–00:01:09.292] 好用。
[00:01:10.374–00:01:10.828] 这是。
[00:01:12.102–00:01:12.780] 我们的态度。
[00:01:13.670–00:01:17.260] 那么接下来就第二个问题，很多同学。
[00:01:17.798–00:01:23.276] 问过无数次的问题，哎呦，那既然用AI创作，那编剧是不是要失业了？
[00:01:24.166–00:01:28.332] 他会不会取代人类呀，对吧？取代编剧，取代创作呢？
[00:01:28.934–00:01:34.444] 我们说这种技术威胁论啊，在每一次新技术出现的时候啊都会有。
[00:01:35.046–00:01:36.908] 不用担心，我还是那句话。
[00:01:37.670–00:01:45.196] 呃，AI不会取代编剧，它只是换一种工具来创作，它有可能取代的是不用AI的编剧。
[00:01:46.086–00:01:59.180] 你拒绝使用就好像那个会计以前打算盘是吧？然后呢，现在是用计算器和计算机来做会计。你说我还是坚持打算盘，那你有可能被淘汰了。
[00:01:59.718–00:02:04.652] 所以淘汰的不是会计这个岗位，是淘汰坚持打算盘的会计。
[00:02:06.374–00:02:10.540] AI也是这样啊，创作者永远不会被淘汰啊。
[00:02:11.910–00:02:15.244] 它只是一个工具的变革。当然这个变革很巨大。
[00:02:17.158–00:02:18.732] 他会把生产方式也。
[00:02:19.398–00:02:21.324] 颠覆了啊，因为我们说。
[00:02:21.990–00:02:28.588] 工具威胁论、技术威胁论啊不要害怕，但是人工智能确实是一个颠覆型的工具。
[00:02:30.182–00:02:31.628] 以我们创作者为例啊。
[00:02:32.262–00:02:32.876] 呃。
[00:02:33.894–00:02:35.212] 确实有巨大的改变。
[00:02:36.198–00:02:40.460] 同学们，以前我们说我们对编剧要求有哪几个能力啊？
[00:02:40.998–00:02:47.212] 同学们记不记得我刚开始给你们讲课的时候啊，我说一个优秀的编剧，一个优秀的创作者啊，要有。
[00:02:48.774–00:02:49.484] 共情力。
[00:02:50.054–00:02:52.396] 是吧然后想象力。
[00:02:53.862–00:02:54.636] 表达力。
[00:02:56.198–00:02:56.780] 执行力。
[00:02:58.918–00:03:00.620] 啥意思呢？你首先。
[00:03:01.126–00:03:12.588] 得是一个共情性认格呀，你能知道别人怎么想，你的感情才细腻，对吧？你要知道角色怎么想，观众怎么想，不同的角度怎么想共情力，然后想象力脑子里面得有。
[00:03:13.830–00:03:21.548] 发散性的思维是吧？得有百各种白日梦，得有对画面的各种想象啊，想象力。然后表达力你还是得把。
[00:03:22.598–00:03:32.332] 这些东西写出来嘛，你光在你脑子里面不行呀，有些同学文采就稍微差点意思，总是写不出画面感，总是写不出身临其境的感觉。我说表达力。
[00:03:32.806–00:03:35.628] 也是一个创作者需要的，再就是执行力。
[00:03:36.326–00:03:45.452] 执行力啥意思啊？我以前说过，我说一个如果是刚入门的编剧啊，如果是一个新人编剧，最重要的先判断执行力。
[00:03:46.150–00:03:48.044] 为啥十个编剧，9个托？
[00:03:48.966–00:03:50.796] 很多编辑有拖延症刚。
[00:03:51.270–00:03:54.796] 或者是新手写了很多开头都没写完，执行力不行。
[00:03:56.198–00:03:58.348] 你如果是个新人，执行力搞不好最重要。
[00:04:01.446–00:04:03.244] 我们说你看这是我们以前。
[00:04:03.782–00:04:05.356] 判断一个编距啊这四个等。
[00:04:06.022–00:04:06.412] 同学们。
[00:04:07.206–00:04:11.788] 现在用AI工具来辅助写作的话，注意啊，我说的是辅助写作。
[00:04:12.614–00:04:18.060] 我们的态度永远不是让AI替你写啊，AI辅助你写的话，这四个能力。
[00:04:18.822–00:04:19.340] 不重要。
[00:04:20.934–00:04:21.868] 因为aiI。
[00:04:22.534–00:04:25.740] 他的共情比你细腻，他能写出来的情感比你细。
[00:04:26.214–00:04:27.884] 他的想象力绝对比你好。
[00:04:28.486–00:04:33.324] 他的表达力我跟你说，他能模仿任何的文风，任何的文采。
[00:04:33.798–00:04:36.908] 他的非常的华丽的表达，身临其境的感觉。
[00:04:37.510–00:04:40.492] 执行力就更不用说了，对吧？以前写一个剧本。
[00:04:41.254–00:04:42.764] 最短也要几个月，现在。
[00:04:43.526–00:04:44.460] 几天就能写出来。
[00:04:45.318–00:04:46.924] 几分钟写个几千字很正常。
[00:04:47.494–00:04:50.380] 当然了，你得筛选修改啊，但是它的执行力。
[00:04:51.046–00:04:52.748] 远大远超人类1000倍。
[00:04:54.342–00:04:55.628] 所以说这四个能力不重要。
[00:04:57.638–00:05:01.484] 那有些同学说，哎呀，那不就是任何阿猫狗都能写了吗？错。
[00:05:03.718–00:05:05.484] 我们需要新的能力了。
[00:05:06.950–00:05:07.532] 判断力。
[00:05:08.742–00:05:10.732] 然后下指令的沟通能力。
[00:05:11.206–00:05:22.796] 其实是沟通能力判断能力下指令的沟通能力。然后最后你要验收，你要审美，你要知道什么是好的，你得吃过见过见赏。
[00:05:24.358–00:05:26.060] 这三个能力变得非常的重要。
[00:05:29.030–00:05:35.500] 当然了，如果你是你原本就是一个非常成熟，非常牛编剧的话，这三者的能力原本也在。
[00:05:36.390–00:05:44.524] 你要判断你要啥写啥，你要写什么赛道，写什么题材，这个故事适合写成什么题材，你最起码先有个判断力嘛。
[00:05:45.702–00:05:51.116] 然后你再下指令，你会沟通，对吧？你你明确的跟他说你想要什么。
[00:05:51.750–00:05:58.028] 然后呢，他给你N多种选择，多次修改以后，你得把你想要的给抓取出来。
[00:05:59.142–00:06:00.556] 你得有你审美啊。
[00:06:03.014–00:06:03.820] 同学们，你看啊。
[00:06:05.414–00:06:08.332] 以前我们做一个编剧是一个人一个生产力啊。
[00:06:08.998–00:06:11.404] 你既是你的老板，又是你的员工啊。
[00:06:12.134–00:06:14.604] 现在你看员工要干的事儿全部交给。
[00:06:15.974–00:06:16.460] 人工智能。
[00:06:17.382–00:06:18.316] 你只需要做。
[00:06:18.790–00:06:19.852] 甲方应该做的事儿。
[00:06:21.286–00:06:26.508] 明白吗？所以说不是AI创作之后，不是没有门槛了，是换门槛。
[00:06:29.158–00:06:31.052] 但是利好哪些人啊，同学们。
[00:06:31.526–00:06:34.636] 就立好以前那些有想法，没方法。
[00:06:35.718–00:06:40.012] 有创作冲动，没有创作行动的那部分人。哎，这部分人。
[00:06:40.614–00:06:42.156] 搞不好就翻身了。
[00:06:42.854–00:06:47.436] 执行力比较差，但是脑子很活泛，是吧？想法很多，但是写不出来哎。
[00:06:47.942–00:06:49.324] 这群人搞不好就。
[00:06:50.950–00:06:53.420] 对他们来说，人工智能是个非常大的利好。
[00:06:53.958–00:07:04.684] 但是还是那句话啊，技术威胁论每每次有新技术的时候都有这种讨论，是吧？互联网出来之后，我们说哎呀，现在发邮件那么容易。
[00:07:05.222–00:07:25.820] 不像以前写封信是吧？信件很慢，但是爱很浓。现在是什么垃圾信息这么多，就就是对吧？没有温度，对吧？汽车刚刚发明的时候也是哎呀，现在到哪去速度很快，但是失去了沿途的风景，没有温度，是吧？电商刚出来的时候，也是说哎呀这个电商。
[00:07:26.278–00:07:30.508] 把这个消费盲目消费是吧？呃盲目交易。
[00:07:31.014–00:07:34.700] 呃，不像以前买的东西，对吧？精挑细选品很高。
[00:07:35.750–00:07:37.996] 我们说新的东西出来的之候都会有这样的。
[00:07:39.014–00:07:40.268] 技术威胁论啊。
[00:07:41.286–00:07:42.700] 我们不去判断是非。
[00:07:43.910–00:07:44.812] 为啥？因为。
[00:07:46.246–00:07:55.692] 互联网出来的时候，确实大家垃圾信息很多呀，垃圾邮件垃圾微信很多，确实没有显息有温度呀，咱承认呀，但是你拦得住吗？
[00:07:57.382–00:08:00.108] 连你奶奶现在都在发微信，你拦不住的呀。
[00:08:00.998–00:08:05.196] 高效率的东西是拦不住的。所以我们不去讨论它的威胁。
[00:08:05.670–00:08:12.876] 每次技术更新都有这种威胁，对吧？我们不去讨论这件事情，汽车就是能够更快的把我们送到某个地方。
[00:08:14.086–00:08:17.100] 互联网就是能够更快更高效的传播信息。
[00:08:18.150–00:08:20.748] AI就是能够更高高效的创作内容。
[00:08:22.086–00:08:26.668] 所以我们不去讨论对错，我们只享受它的红利。
[00:08:27.878–00:08:31.756] 这种技术威胁论啊，我们不去讨论，为啥？因为说到底。
[00:08:32.614–00:08:36.588] AI是个工具，你是老板，你说了算。
[00:08:37.094–00:08:49.548] 至于他什么能自我生长，那个什么那些科幻片的事情，我们就不去讨论了。好吧，互联网刚刚出来的时候也讨论过这些事情。我跟你说，蒸汽机发明的时候就都讨论过这些事情，机器人威胁乐以前也有。
[00:08:50.534–00:08:51.660] 所以这个就不去。
[00:08:52.614–00:08:53.708] 我们说点实惠的。
[00:08:57.446–00:08:59.148] 我们用哪个工具去创？
[00:09:00.390–00:09:00.748] 工具。
[00:09:04.934–00:09:07.372] 同学们，现在有很多关于。
[00:09:08.678–00:09:09.420] 协作的工具。
[00:09:09.926–00:09:13.964] 这个是AI写短句的，那个是AI写剧本的，这个是AI写小说的。
[00:09:14.822–00:09:16.748] 统一回答一下啊，同学们。
[00:09:17.670–00:09:21.452] 我们主流编剧现在依然在用通用模型。
[00:09:22.630–00:09:23.852] 通用的语言大模型。
[00:09:24.902–00:09:25.548] 也就是。
[00:09:26.406–00:09:26.892] Gepick。
[00:09:28.262–00:09:29.036] GPT。
[00:09:30.086–00:09:32.044] 文心怡言、豆包这类。
[00:09:33.670–00:09:34.124] 大冒仙。
