P068 无论看多少次都觉得超级！无敌！治愈！《玩具总动员》拉片解读，独特视角（一）
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=68
CID：26225279963
源文件 SHA256：af72ac798c554c74ff29ccdaf3b4797c6232a77c3dddc0d42fd0313531e2787b

[00:00:00.390–00:00:27.356] 同学们好，今天我们拉片皮克斯经典动画玩具总动员。第一部玩具总动员是1995年由迪士尼和皮克斯工作室合作推出的动画长片，也是影史第一部完全以计算机三维动画制作的长篇剧情动画片。如果说威力号弃船，赋予了动画片声音。白雪公主赋予了动画片色彩，那这部玩具总动员就是开启了动画片3D时代的作品了，导演约翰拉塞特也因此获得了奥斯卡历史上第一个颁给动画电影的特别成就奖。
[00:00:27.430–00:00:34.028] 接下来我会带同学们从创作者的角度剖析学习这部开创了3D动画电影历史先河的悠久电影。
[00:00:36.998–00:00:38.380] 。
[00:00:38.982–00:00:39.596] 。
[00:00:40.966–00:00:41.644] 。
[00:00:44.966–00:00:57.964] 咱们今天是拉片课啊，拉片课相信上节课听过的同学都知道，拉片儿课里面可以快速的验证和实践你在课上学过的知识，对不对？
[00:00:58.438–00:00:58.796] 对吧？
[00:00:59.302–00:01:13.324] 所以说啊呃大家一定要呃学以致用啊，在拉片课当中呢要熟练的运用呃灵活的调用咱们在课上学过的那些知识点，但这只是第一步。
[00:01:13.798–00:01:21.036] 第二步呢是学会了那些知识点以后呢，我们把它应用在应用在自己的写作当中。
[00:01:21.542–00:01:40.812] 所以大家记住一点啊，拉片儿课我们为什么刻意的拉不同的影片跨度大一点。上节课拉了一个肖售客的救赎好严肃啊，这节课突然拉玩具总动员了，为什么呢？待会儿我跟你讲一下，为什么拉这部片子，但是更重要的目标是什么呢？我们学会写一类影片。
[00:01:41.894–00:01:43.820] 我们学会学会写一类故事。
[00:01:44.326–00:01:54.348] 首先介绍一下这部电影，以及说一下我们为什么拉片这部电影。我告诉大家，我选这部片子的时候，我是几部片子选的啊，我自己选的。如果叫你们你选的。
[00:01:55.206–00:01:55.980] 绿皮书。
[00:01:56.614–00:01:57.548] 触不可及。
[00:01:58.182–00:01:59.820] 变形金刚一啊，然后。
[00:02:00.646–00:02:01.580] 玩具总动员仪。
[00:02:03.142–00:02:12.428] 我给大家讲一下啊，为什么呃这部片子呃，为什么先选了这个选题啊，因为这种双男主啊或者是类双男主，有时候是。
[00:02:13.062–00:02:15.308] 主体躯干和配角的关系啊。
[00:02:15.910–00:02:16.844] 双男主。
[00:02:17.638–00:02:22.156] 也未必是说这两个男主并驾齐驱，那你们能明白这个意思吧？
[00:02:22.726–00:02:28.588] 比如说疯狂的外星人啊，黄渤和沈腾是双男主，非常标准互补。
[00:02:29.062–00:02:32.268] 但是黄渤的戏份他就是多于沈腾。
[00:02:33.286–00:02:35.884] 你明白我意思吧？在疯狂的外星人里面。
[00:02:36.870–00:02:39.404] 黄牌稀饭他就是多余腾哥，懂不懂？
[00:02:40.070–00:03:01.756] 就是这个东西它有时候他不是说严格意义上非得是是是怎么着，伙伴之情就不能有一主一配了。伙伴之情就不能一大一小了。他凭什么呀？泰坦尼克号那也是迪卡普利奥视角，对不对啊？所以说这个东西吧，嗯不要太较劲啊？但是选这四部片子确实都是因为。
[00:03:01.830–00:03:09.868] 这四部片子有双男主，但是我还是强调有主次，特别是变形金刚那个大黄蜂刺的很厉害。
[00:03:10.406–00:03:32.220] 明白吗？有主次。所以说我想通过这四部片子告诉大家，双男主的玩法，而且双男主当中是有双男主是这样排布的，双男主是这样排布的，懂不懂啊？分类只是个简化思维。我们说一下，我们为什么这次选玩具总动员这部电影。很多同学看了可能觉得平平无奇啊。
[00:03:32.678–00:03:43.276] 首先这部电影是1995年出的，它有它划时代的意义啊。嗯，你现在看觉得它平平无奇很正常啊，但是当时它有划时代的意义。
[00:03:43.782–00:03:45.804] 首先它有个什么划时代的意义呢？
[00:03:46.278–00:03:49.068] 它是人类饮史上第一部。
[00:03:49.574–00:03:52.556] 电脑制作的三维动画长片。
[00:03:53.126–00:04:01.868] 也就是因为当时有电脑了啊，90年代刚有电脑，以前动画片都是迪士尼的，大家都是画出来的。但是这个皮克斯由于是个新公司。
[00:04:02.694–00:04:06.572] 所以他用电脑制作动画，这是第一部动画长片。
[00:04:07.878–00:04:09.836] 第一部电脑制作的动画电影。
[00:04:10.950–00:04:15.756] 所以当时这从影像风格上，或者是对业界带来的轰动和震动上。
[00:04:16.390–00:04:18.732] 他是非常激动的啊，非常看好。
[00:04:19.430–00:04:30.092] 第二，这部电影也数次斩获奥斯卡，也就是说它水平非常的高啊，数次斩获奥斯卡这个动画的导演还获得了奥斯卡终身成就奖。
[00:04:31.366–00:04:31.884] 第三。
[00:04:32.838–00:04:38.892] 这部电影的制作人是谁呢？这部电影的制片人是乔布斯。
[00:04:40.902–00:04:42.220] 苹果的那个乔布斯。
[00:04:42.790–00:04:49.004] 也就是说啊，你看啊这些技术大咖这搞电脑的这这帮人啊，我跟你说呀，他干啥啥都行。
[00:04:49.638–00:04:58.892] 同学们，你们有没有想过一个问题，你们给我学讲故事啊，实际上我教你们的那些东西啊，它也不止应用在写剧本里。
[00:04:59.654–00:05:00.908] 你们有没有想过这个问题啊？
[00:05:02.214–00:05:03.084] 故事这个。
[00:05:03.814–00:05:09.420] 讲故事的逻辑或者讲故事这些方法论在我们日常生活的方方面面都能用到。
[00:05:10.342–00:05:18.700] 你咱们有很多同学，你如果年轻的话啊，你跟我学讲故事学的比较早的话，我觉得对你的婚恋生活都很有帮助。同学们。
[00:05:19.366–00:05:30.316] 你如果你如果现在还是个年轻人，就学了我的课的话，其实对你的婚恋生活都会有帮助的。当然你要吃透了啊，你要应用在你要会扩散很或是有方法。
