P074 编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=74
CID：27089765971
源文件 SHA256：57894f2128a78ef730b5da1112bab3d058dce964731b8aa98056ee44d8fb0dfb

[00:00:03.686–00:00:06.284] 。
[00:00:07.590–00:00:08.396] 嗯。
[00:00:11.750–00:00:33.180] 来今天讲这个保你平安。首先说一下啊，为什么选了这部片子，这个电影从剧本的角度啊非常成功，是一个非常完整的呃，带有呃很浓重的商业色彩一个原先点啊，非常符合我们我们学习编剧啊，学习写剧本的创作思路。
[00:00:33.254–00:00:57.948] 就我们作为编剧啊，就应该写写这样的剧本，这样的剧本好卖好卖，这是第一件事情。第二件事情呢，这部个电影呢确实也没有受到足够的重视啊，当然了，票房肯定也是打几亿啊，肯定也是接近10亿左右吧。我没有仔细问啊。所以这部片子啊呃不管是票房还是评分其实都没有到达，应该有的一个高度。
[00:00:58.342–00:01:18.428] 都比他的实际水平要少一点。啊，至于为什么咱们当然也可以讨论，可以研究啊。第三个原因，为什么看这部片子呢？是因为这部电影在上映之后呢，嗯我曾经和大鹏导演两次啊花了两个下午的时间嗯仔细的复盘过这部电影。
[00:01:18.694–00:01:39.292] 就关于这个创作的过程，包括遗憾，包括当时的一些选择啊，重新的复盘。我们俩讨论了一下有没有其他的可能性啊，就关于这部电影，因为这部电影是他韩鹏导演这个这个自导自演的电影嘛，对吧？所以说呃他也最有发言权啊。
[00:01:39.366–00:01:59.420] 那从这个角度呢，我把从他那里得到的，或者是我们俩碰撞出来的一些想法啊，可以讲给同学们听。这样的话相当于你们跟跟创作者呢角度可以站得更近，更便于你们去学习。好吧，基于这几点原因啊，我们来看一下这部保你平安。
[00:01:59.686–00:02:26.524] 咱们拉片课其他都先不要说再来就聊一件事情，就是他的信息包，就是他有传达了多少信息节拍，是我们最先要表达的啊。我们来看一下，帮你平安的信息节拍。第一部分啊启程转合的启的部分，第一拍第一分钟做了一个洗车的一个出场戏啊，是一个老旧的一个奔驰啊，我们说这个老奔驰，这个白奔驰嗯，确实是挺。
[00:02:26.598–00:02:46.908] 挺扎眼的，挺细节的。嗯，一场车戏、洗车戏啊，包括他开车的戏。我们说一个电影啊开始第一拍一般来说交代呃主角的现状啊。当然了，如果有前史会稍微倒腾一点前史，在这个故事当中没有前史，它就是现状。那你说这个破车是不是。
[00:02:46.982–00:03:06.124] 是不是主角的现状呢？那肯定是主角的现状之一，对吧？就是曾经错过，然后这个车老了，其实这种现状还是非常有典型意义的。为啥呢？因为我邻居我邻居门口总是停着一辆特别老的，就是那种。
[00:03:06.726–00:03:34.652] 奔驰S还有一辆已经门都瘪了的老宾利，就这两个车啊啊，这个当年我绝对能够买好多套房子是吧，这个就能看出这个人以前是阔过的啊，然后第二拍第三分钟继续交代主角的现状，参加女儿的一个文艺汇演。这里呢也顺便把家庭关系啊交代了一下，包括他的这个孩子呀，前妻啊，对吧？前期现在的老王呀，然后嘞。
[00:03:34.726–00:03:38.636] 来来晚了，只能爬墙混进去啊，给女儿丢脸了。
[00:03:39.302–00:03:52.588] 来到第三拍，第5分钟继续交代会现状。但是回到的是工作的这个环境啊，嗯，它是一个墓地的销售啊。在这里呢他为什么回来呢？是因为遇到了这个核心事件啊，寒露千坟这个事儿。
[00:03:53.158–00:03:54.252] 来到第四拍。
[00:03:54.982–00:03:58.508] 第8分钟，他来到墓地和韩璐告别。
[00:03:59.718–00:04:00.748] 你可以理解啊。
[00:04:01.382–00:04:11.564] 韩露要迁坟这个事情，他开始是没打算阻止的，为什么？因为他来告别嘛，然后回忆起当年的情况，有一场回忆起，也回忆这个韩露选择这个目的的一个过程。
[00:04:12.646–00:04:20.332] 来到第五拍，也就是第11分钟修车的时候啊，跟女儿发信息，女儿发现了别人的一个。
