P090 编剧视角拉片励志电影《肖申克的救赎》一
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=90
CID：29821570920
源文件 SHA256：795a8c00726c926edfb9f4415c18e0ac18c98063c72c8e3fbcb65db0f5cc303a

[00:00:00.326–00:00:12.684] 肖申克的救赎自1994年上映以来，一直稳居各大影评网站top一，相信屏幕前的你已经无数次为他停留。今天我将带你从创作者的角度去剖析这部电影。
[00:00:13.350–00:00:16.012] 是的同学们，你们最爱的编剧拉片来了。
[00:00:16.774–00:00:17.644] 准备好了吗？
[00:00:18.406–00:00:19.788] 开始吧。
[00:00:26.342–00:00:28.940] 。
[00:00:30.310–00:00:31.052] 。
[00:00:34.470–00:00:55.036] 强调一下我们的学习目的啊，咱们不是来加片赏析的啊。首先这一件明确，我们没有那闲工夫跑这儿加片儿赏析，写影评来的不是，这是第一。第二呢，我们也不是来找吹牛的谈资的。很多同学看片子啊，喜欢看，哎呀，你知道吧？里面那只鸟啊，那只乌鸦呀是个比喻。
[00:00:55.654–00:01:04.396] 它比喻失去自由的人，对吧？然后后面还有个台词点睛说安底是那只关不住的鸟是吧？那个那个。
[00:01:04.934–00:01:18.284] 呃，其他人呢全是那种被关注的鸟，然后小老布布鲁克斯养大的那只鸟呢，就他那只鸟就代表了布鲁克斯。然后在原著当中呢，那只鸟实际饿死了，在电影当中呢没饿死。
[00:01:18.854–00:01:35.564] 这些东西啊啊坦白讲对于我们创作来说啊没有什么用啊，没有什么用。虽然它也是对的，但是你听我的它没有什么用，我们不研究这些呃神神叨叨的东西，我们只有一个目标，通过一部好的电影。
[00:01:36.390–00:01:37.100] 学会。
[00:01:37.670–00:01:39.596] 这种类型的故事咋写？
[00:01:40.262–00:01:49.868] 明白吗？就下次再碰到这类片子，有一个人被关进一个地方了，吧？一个人被关进一个束缚他的地方了。
[00:01:50.726–00:01:53.996] 我们就知道咋写了，正式开始上课，严肃点啊。
[00:01:54.566–00:01:56.588] 严肃点，老师要换严肃脸了。
[00:01:58.502–00:01:59.212] 正式开始上课。
[00:01:59.718–00:02:20.924] 今天的课程内容，我们学习肖申克的救赎这部电影的拉片啊，我们通过拉片肖申克的救赎这部电影学习创一些基本的创作思路啊，学习这类影片的创作方法以及创作要点。来开始。首先我们说一下，为什么第一部片子选了肖申克的救赎呢？因为他长期霸占。
[00:02:21.094–00:02:41.852] 影史排名第一是吧？管他是不是真的一定能排第一呢？人家长期霸占第一，至少证明人家肯定有资格有实力排在前几。我们可以简单聊几句它的背景。这部片子是94年的啊，我们说94年其实呃这个呃。
[00:02:41.926–00:02:44.108] 国内外都是电影大年啊。
[00:02:45.446–00:02:58.732] 嗯，94年，所以说这部片子在94年其实票房惨败，然后奖项也惨败啊。因为那几94年太可怕了，94年有什么啊，94年有这个杀手不太冷。
[00:02:59.462–00:03:02.092] 94年有那个低俗小说。
[00:03:02.566–00:03:22.492] 是吧94年其实还有那个香港电影也十分猛啊。香港电影对，94年还有阿甘正传啊，阿甘是得了最佳影片和最佳导演嘛，阿甘正传直接就封神了。神仙打架这四个字用在94年简直就是非常非常正确啊。但是嘞。
[00:03:22.886–00:03:35.724] 这部电影它非常的慢热啊，它在若干年以后成为了这个这个影史排名第一啊，至少评分影史排名第一的片子啊，简单了解一下，我们就开始进正式的进入片子。
[00:03:36.390–00:03:43.660] 拉片儿第一步很多同学拉片第一步啊，先去给一个片子找类型，先去给一个片子写一句话故事错了啊。
[00:03:44.134–00:03:45.452] 拉片第一步。
[00:03:46.022–00:03:49.580] 信息包啊信息包先给我拆信息包。
[00:03:50.214–00:04:10.140] 我说过一般来说一个商业电影三十几个信息包啊，一定要记住，拉片第一步先拉信息包信息包一旦拉出来以后，它是一个什么样的什么类型的电影？它的一句话是故事是什么？哎呀，跃然直上，了然于胸，一目了然是吧？根本就不需要辩论了。
[00:04:10.438–00:04:29.292] 根本就不需要辩论了。所以说提前去辩论这部片子一句话故事是什么？类型是什么？没有必要先拉信息包，有条件的同学记一下笔记。其实我希望所有人都记，记完了以后，等你自己再去回顾这部片子的时候，就可以拿出这个笔记，哎，对吧？熟悉一下。
[00:04:31.174–00:04:31.692] 第一包。
[00:04:32.230–00:04:32.812] 第一趴。
[00:04:33.414–00:04:46.924] 第一趴到这个片子的6分钟啊，写的是什么呢？写的是庭审加回忆这么一场戏，其实是为了回溯案情，主角安迪因为杀妻案疑似。
[00:04:48.038–00:05:02.124] 含冤被定罪，因为这里我们不完不完全知道安迪是含冤的这是个小悬念。我们要回到第一次看这个片子的时候的感觉啊，同学们啊，所以说这里是有个小悬念的，他到底有没有杀妻子，实际是。
[00:05:03.046–00:05:05.292] 含冤啊疑似含冤啊。
[00:05:05.798–00:05:06.540] 这是第一趴。
[00:05:07.462–00:05:08.172] 第二趴。
[00:05:08.678–00:05:19.436] 第7分钟啊，对德的视角red呢申请出狱，被驳回。记得啊，这是他第一次申请出狱，这也是一个名场面，后面有多次呼应，有两次呼应啊。
[00:05:20.006–00:05:27.468] 然后他出来以后，通过他与其他人的对话交代了一下，其他人也被驳回了。
[00:05:28.518–00:05:41.260] 这个也很重要啊，不光re一个人被驳回了，其他人也被驳回了。这是什么意思呢？red是这个监狱大家的一个代表啊，一个比较典型的代表。
[00:05:42.310–00:05:51.852] 不仅仅是一个男二号啊，它是一个典型伙伴们的伙伴群象的一个代表。这里大家记着啊，记把这个记在脑子里，待会是有用的。
[00:05:52.486–00:05:53.996] 然后呢，red。
[00:05:54.630–00:06:05.740] 介绍自己介绍监狱用的是旁白的方式啊，在第二趴就开始read有旁白了啊，用的是read这个旁白的方式啊去介绍这些东西。
[00:06:06.598–00:06:07.404] 然后。
[00:06:08.038–00:06:08.972] 第三趴。
[00:06:09.574–00:06:21.740] 第三趴是从第9分钟开第9分钟开始的新人入狱。大家都记得啊，那个车开过来啊，拉着新的这个犯人进来了。安迪和red相遇呃，同学们记不记得？
[00:06:22.246–00:06:37.740] 我在讲爱情十六字真言的时候，关于这个相遇啊，我说要有仪式感两个人相遇，最好不打不成交啊，冤家路窄是吧？或者是妻世怨侣有渊源，这里上来两个人有没有渊源？
[00:06:38.246–00:06:39.244] 太有渊源了吧。
