P091 编剧视角拉片励志电影《肖申克的救赎》二
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=91
CID：29821699723
源文件 SHA256：a0ca60f747f83177740f65f4324b16e309b47a8e2e9b50567a1c9bfa4cdde2e0

[00:00:03.590–00:00:06.220] 。
[00:00:12.006–00:00:12.716] 接着往下说。
[00:00:13.190–00:00:14.732] 第十二趴39分钟。
[00:00:15.398–00:00:15.980] 这个。
[00:00:17.350–00:00:34.252] 南一和男二啊red安迪和red两个人下棋，这个安迪提出来他要自己刻旗子啊，这个呢也是个小伏笔啊，小伏笔呃，很后面才兑现的。但更重要的是，他们这里关于人有罪还是无罪，再次进行讨论。
[00:00:35.142–00:00:55.612] 再次进行讨论，readd在这里承认自己有罪。我们说这是一个非常重要的伏笔。为什么最后得到真正得到自由的只有安迪和red呢？这里埋下了伏底伏笔red是真的忏悔自己的罪行啊，真的忏悔自己的罪行，这是第十2趴啊。
[00:00:56.742–00:01:06.444] 非常短的一场戏，但是值得单独作为一个节拍。同学们有时候一个节拍就一场戏一分钟。有的时候一个节拍七八场戏十来分钟，这都很正常啊。
[00:01:07.430–00:01:10.508] 因为他节拍不是按照时间，不是按照目分的。
[00:01:11.430–00:01:31.388] 同学们啊，你们自己写的那个节拍，跟老师写的只要大差不差就可以，明白吗？不用非常的精准，但是尽量要跟老师写的接近。因为老师写的给你们拉的节拍是按照创作的思维，就我们去共情当时这个编剧是咋写的，或者这个导演是怎么安排这些戏的。
[00:01:31.750–00:01:33.644] 共情他们啊，来下一排。
[00:01:34.214–00:01:36.268] 第十三趴第十三拍。
[00:01:36.902–00:01:57.884] 第40分钟啊，距离上一场戏只有一分钟啊，第十3拍第40分钟，他晚上在雕刻棋子的时候，发现墙皮很松，这里也单独做一拍，只有几秒钟的一戏，但是要单独做一拍，因为后面有呼应啊，因为后面都用得上，所以这一场戏也是单独一场有用的戏，他发现墙皮很松。
[00:01:58.086–00:02:02.828] 因为在这里我们其实不知道他要越狱，但是墙壁很松，又给了我们一个强烈暗示。
[00:02:04.038–00:02:05.996] 十四拍41分钟。
[00:02:06.598–00:02:07.116] 看电影。
[00:02:08.582–00:02:10.188] 我们说又只过了一分钟。
[00:02:10.886–00:02:31.260] 为什么又单独说他是一拍呢？因为又是一次越狱暗示看电影安y向red索要女明星的海报啊，美女海报暗示这里计划已经开始了，明白吗？14场其实如果我们全部来复盘的话，从这一场戏开始，他已经开始在挖地道了。
[00:02:31.398–00:02:34.604] 啊，因为我们需要复盘才知道啊，所以这里先打个点。
[00:02:35.206–00:02:37.292] 第十五拍42分钟。
[00:02:37.862–00:02:41.740] 安迪再次被姐妹团攻击，也就是姐妹团啊。
[00:02:42.310–00:02:44.812] 在这里要完成他的历史使命了。
[00:02:45.638–00:02:48.396] 安迪再次被姐妹团攻击。
[00:02:48.902–00:02:54.060] 被打的很惨啊被打的很惨，但是没有失节。
[00:02:54.598–00:03:07.660] 或者是说这次没有时节，因为影片并没有明确讲述他之前有没有被搞过啊，没有没有明确讲述之前有没有被搞过，只是讲他每次都反抗。
