part,cid,title,source_file,source_sha256,video_acquired,raw_asr,review_status,clean_transcript,method_status
1,39755975667,一个人在家做AI漫剧能赚钱吗？,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/一个人在家做AI漫剧能赚钱吗？.mp4,40cc25dcc096d7e95a1442e7db4967985e05932690836615e075fab104c21c45,verified,,not studied this round,not completed,not extracted
2,167845774,第一课-劝学1.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.1.mp4,d26e7368006cf96f51858eb7cfb8bc013656be3f2f26539e2a6fb85b0f275252,verified,,not studied this round,not completed,not extracted
3,167847370,第一课-劝学1.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.2.mp4,88a6be72a8801e5fab993fc7f6f876e63e57e03463a88a45414fe6e598ba6b09,verified,,not studied this round,not completed,not extracted
4,167849613,第一课-劝学1.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第一课-劝学1.3.mp4,92f00104f44b306d101d3cb01f1cd9bc6afaf7eec46c2e0bc93e5e44385ca84f,verified,,not studied this round,not completed,not extracted
5,167850841,第二课-故事的要素2.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.1.mp4,ae7fc5cf55ac7a986105ab85f4376d418331fa2b852c41690d7a30398cbfd0bf,verified,research/2026-09-06-course-to-capability/asr/p005.json,full raw ASR read; selected original frames inspected,not completed,lesson-2 candidate written; not separately efficacy-tested
6,167853069,第二课-故事的要素2.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第二课-故事的要素2.2.mp4,106f194736f875983bebd75396444a2c5dc8c0758dd5d591254e2a4db35dc2fc,verified,research/2026-09-06-course-to-capability/asr/p006.json,full raw ASR read; selected original frames inspected,not completed,lesson-2 candidate written; not separately efficacy-tested
7,167856598,第三课-八要素的实战应用3.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.1.mp4,37811fe1f7c44abbca9c2ef0202e3aa74f94b3df1d8614fb735c054cec7925b0,verified,,not studied this round,not completed,not extracted
8,167859809,第三课-八要素的实战应用3.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第三课-八要素的实战应用3.2.mp4,8f9258099f3c79e4d70bd1840dc61163bfdaa6c81b10e2a9d71ece8f11dde093,verified,,not studied this round,not completed,not extracted
9,167864038,第四课-第一个故事4.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.1.mp4,1db09122dd581f9000004a24fb0c1755e2bf74c30282b4a06020edd74abd5765,verified,,same-lesson podcast studied; no full per-part alignment,not completed,lesson-4 v0 candidate tested; partial evidence only
10,167867112,第四课-第一个故事4.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第四课-第一个故事4.2.mp4,af8a26f2ac5b58868a20c8fed3f1ba79c2d36892be52a12dda96ff0b96c8b0de,verified,,same-lesson podcast studied; no full per-part alignment,not completed,lesson-4 v0 candidate tested; partial evidence only
11,167870818,第五课-剧本的正义5.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.1.mp4,856c51029752ff06089982e4a14aa9ec79ebcb7886cb30cdc6907ddec6d5d40f,verified,,not studied this round,not completed,not extracted
12,167874116,第五课-剧本的正义5.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第五课-剧本的正义5.2.mp4,967eaacb9181b7632b1d035fd179641ae582b15b91a3aff685316f279973449c,verified,,not studied this round,not completed,not extracted
13,167877064,第六课-剧本的格式6,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第六课-剧本的格式6.mp4,6c081651506265a9544cea6b2c2553118bbf5ce94b6a5b3f1022e8a5669b09d0,verified,,not studied this round,not completed,not extracted
14,167881562,第七课-拿事儿说话7,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第七课-拿事儿说话7.mp4,a47234aa7cfe8959b10811d58570889c01f483c3fc71b99cb362e5ad4a787c50,verified,,not studied this round,not completed,not extracted
15,167884665,第八课-勾勒画面8.1,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.1.mp4,bd5aa89f3394a71240e23e971eabf08aef3485ba549e00ae14b246cd0a8caba3,verified,,not studied this round,not completed,not extracted
16,168276930,第八课-勾勒画面8.2,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.2.mp4,564cc97ef0d711c6cd75be5045ec721bb304a93fc5e8c7897dba8ee65d59ff0d,verified,,not studied this round,not completed,not extracted
17,168277841,第八课-勾勒画面8.3,output/course-materials/charlie-screenwriting-20260906/raw/【完整编剧教程】-从零基础到高阶实操【查理的编剧课-实战篇（合集）】（没完结！更着呢！）/第八课-勾勒画面8.3.mp4,baa383e01087d9ca72129049a3cddbe5e7c22fa0e7805b0cf79845eaffa56212,verified,,not studied this round,not completed,not extracted
